,accepted_species,Assigned_group,number_of_species_in_group
20,Tabernaemontana glabra,NIC,70
20,Tabernaemontana glabra,PAN,89
20,Tabernaemontana glabra,PER,121
21,Tabernaemontana divaricata,ASS,118
21,Tabernaemontana divaricata,BAN,125
21,Tabernaemontana divaricata,CBD,139
21,Tabernaemontana divaricata,CHC,226
21,Tabernaemontana divaricata,EHM,114
21,Tabernaemontana divaricata,IND,142
21,Tabernaemontana divaricata,LAO,120
21,Tabernaemontana divaricata,MYA,174
21,Tabernaemontana divaricata,NEP,108
21,Tabernaemontana divaricata,THA,205
21,Tabernaemontana divaricata,VIE,201
21,Tabernaemontana divaricata,WHM,82
22,Hymenodictyon floribundum,ANG,77
22,Hymenodictyon floribundum,BEN,73
22,Hymenodictyon floribundum,BUR,41
22,Hymenodictyon floribundum,CAF,95
22,Hymenodictyon floribundum,CMN,125
22,Hymenodictyon floribundum,CON,102
22,Hymenodictyon floribundum,ERI,21
22,Hymenodictyon floribundum,ETH,47
22,Hymenodictyon floribundum,GAB,99
22,Hymenodictyon floribundum,GHA,85
22,Hymenodictyon floribundum,GUI,89
22,Hymenodictyon floribundum,IVO,93
22,Hymenodictyon floribundum,KEN,85
22,Hymenodictyon floribundum,LBR,77
22,Hymenodictyon floribundum,MLW,70
22,Hymenodictyon floribundum,MOZ,82
22,Hymenodictyon floribundum,NAM,20
22,Hymenodictyon floribundum,NGA,116
22,Hymenodictyon floribundum,RWA,34
22,Hymenodictyon floribundum,SIE,73
22,Hymenodictyon floribundum,SUD,72
22,Hymenodictyon floribundum,TAN,109
22,Hymenodictyon floribundum,TOG,51
22,Hymenodictyon floribundum,UGA,76
22,Hymenodictyon floribundum,ZAI,136
22,Hymenodictyon floribundum,ZAM,68
22,Hymenodictyon floribundum,ZIM,63
23,Hunteria zeylanica,AND,62
23,Hunteria zeylanica,CBD,139
23,Hunteria zeylanica,CHH,84
23,Hunteria zeylanica,IND,142
23,Hunteria zeylanica,KEN,85
23,Hunteria zeylanica,LAO,120
23,Hunteria zeylanica,MLY,152
23,Hunteria zeylanica,MOZ,82
23,Hunteria zeylanica,MYA,174
23,Hunteria zeylanica,NCB,44
23,Hunteria zeylanica,SOM,34
23,Hunteria zeylanica,SRL,92
23,Hunteria zeylanica,SUM,99
23,Hunteria zeylanica,TAN,109
23,Hunteria zeylanica,THA,205
23,Hunteria zeylanica,VIE,201
24,Tripterospermum taiwanense,TAI,89
25,Periploca calophylla,ASS,118
25,Periploca calophylla,CHC,226
25,Periploca calophylla,CHS,179
25,Periploca calophylla,CHT,73
25,Periploca calophylla,EHM,114
25,Periploca calophylla,IND,142
25,Periploca calophylla,MYA,174
25,Periploca calophylla,NEP,108
25,Periploca calophylla,VIE,201
25,Periploca calophylla,WHM,82
26,Galianthe thalictroides,AGE,35
26,Galianthe thalictroides,BZL,109
26,Galianthe thalictroides,BZS,55
26,Galianthe thalictroides,PAR,51
26,Galianthe thalictroides,URU,16
27,Adina pilulifera,CHC,226
27,Adina pilulifera,CHH,84
27,Adina pilulifera,CHS,179
27,Adina pilulifera,JAP,66
27,Adina pilulifera,VIE,201
28,Trachelospermum lucidum,ASS,118
28,Trachelospermum lucidum,CHC,226
28,Trachelospermum lucidum,CHS,179
28,Trachelospermum lucidum,CHT,73
28,Trachelospermum lucidum,EHM,114
28,Trachelospermum lucidum,LAO,120
28,Trachelospermum lucidum,NEP,108
28,Trachelospermum lucidum,PAK,61
28,Trachelospermum lucidum,TAI,89
28,Trachelospermum lucidum,THA,205
28,Trachelospermum lucidum,VIE,201
28,Trachelospermum lucidum,WHM,82
29,Simira maxonii,CLM,138
29,Simira maxonii,COS,84
29,Simira maxonii,NIC,70
29,Simira maxonii,PAN,89
30,Crossopteryx febrifuga,ANG,77
30,Crossopteryx febrifuga,BEN,73
30,Crossopteryx febrifuga,BKN,46
30,Crossopteryx febrifuga,BOT,24
30,Crossopteryx febrifuga,BUR,41
30,Crossopteryx febrifuga,CAF,95
30,Crossopteryx febrifuga,CHA,37
30,Crossopteryx febrifuga,CMN,125
30,Crossopteryx febrifuga,CON,102
30,Crossopteryx febrifuga,CPV,15
30,Crossopteryx febrifuga,ETH,47
30,Crossopteryx febrifuga,GAB,99
30,Crossopteryx febrifuga,GAM,29
30,Crossopteryx febrifuga,GHA,85
30,Crossopteryx febrifuga,GNB,48
30,Crossopteryx febrifuga,GUI,89
30,Crossopteryx febrifuga,IVO,93
30,Crossopteryx febrifuga,KEN,85
30,Crossopteryx febrifuga,MLI,41
30,Crossopteryx febrifuga,MLW,70
30,Crossopteryx febrifuga,MOZ,82
30,Crossopteryx febrifuga,NGA,116
30,Crossopteryx febrifuga,RWA,34
30,Crossopteryx febrifuga,SEN,55
30,Crossopteryx febrifuga,SIE,73
30,Crossopteryx febrifuga,SUD,72
30,Crossopteryx febrifuga,TAN,109
30,Crossopteryx febrifuga,TOG,51
30,Crossopteryx febrifuga,TVL,47
30,Crossopteryx febrifuga,UGA,76
30,Crossopteryx febrifuga,ZAI,136
30,Crossopteryx febrifuga,ZAM,68
30,Crossopteryx febrifuga,ZIM,63
31,Cryptolepis sinensis,AND,62
31,Cryptolepis sinensis,ASS,118
31,Cryptolepis sinensis,BAN,125
31,Cryptolepis sinensis,CBD,139
31,Cryptolepis sinensis,CHC,226
31,Cryptolepis sinensis,CHH,84
31,Cryptolepis sinensis,CHS,179
31,Cryptolepis sinensis,EHM,114
31,Cryptolepis sinensis,IND,142
31,Cryptolepis sinensis,JAW,102
31,Cryptolepis sinensis,LAO,120
31,Cryptolepis sinensis,MLY,152
31,Cryptolepis sinensis,MYA,174
31,Cryptolepis sinensis,PHI,93
31,Cryptolepis sinensis,TAI,89
31,Cryptolepis sinensis,THA,205
31,Cryptolepis sinensis,VIE,201
32,Lasianthus gardneri,SRL,92
33,Dimetia capitellata,ASS,118
33,Dimetia capitellata,BAN,125
33,Dimetia capitellata,BOR,100
33,Dimetia capitellata,CBD,139
33,Dimetia capitellata,CHC,226
33,Dimetia capitellata,JAW,102
33,Dimetia capitellata,LAO,120
33,Dimetia capitellata,MLY,152
33,Dimetia capitellata,MYA,174
33,Dimetia capitellata,PHI,93
33,Dimetia capitellata,THA,205
33,Dimetia capitellata,VIE,201
34,Exallage auricularia,AND,62
34,Exallage auricularia,ASS,118
34,Exallage auricularia,BAN,125
34,Exallage auricularia,BOR,100
34,Exallage auricularia,CHC,226
34,Exallage auricularia,CHH,84
34,Exallage auricularia,CHS,179
34,Exallage auricularia,CRL,14
34,Exallage auricularia,EHM,114
34,Exallage auricularia,IND,142
34,Exallage auricularia,JAW,102
34,Exallage auricularia,LAO,120
34,Exallage auricularia,LSI,50
34,Exallage auricularia,MLY,152
34,Exallage auricularia,MYA,174
34,Exallage auricularia,NEP,108
34,Exallage auricularia,NNS,47
34,Exallage auricularia,NTA,27
34,Exallage auricularia,NWG,69
34,Exallage auricularia,PHI,93
34,Exallage auricularia,QLD,56
34,Exallage auricularia,SRL,92
34,Exallage auricularia,SUM,99
34,Exallage auricularia,THA,205
34,Exallage auricularia,VAN,22
34,Exallage auricularia,VIE,201
35,Gentianella florida,AGW,15
35,Gentianella florida,BOL,122
36,Kibatalia macrophylla,CBD,139
36,Kibatalia macrophylla,CHC,226
36,Kibatalia macrophylla,LAO,120
36,Kibatalia macrophylla,MYA,174
36,Kibatalia macrophylla,THA,205
36,Kibatalia macrophylla,VIE,201
37,Vincetoxicum forrestii,CHC,226
37,Vincetoxicum forrestii,CHN,69
37,Vincetoxicum forrestii,CHT,73
38,Coffea kapakata,ANG,77
38,Coffea kapakata,CON,102
39,Odontadenia semidigyna,BLZ,53
39,Odontadenia semidigyna,BZC,97
39,Odontadenia semidigyna,BZN,145
39,Odontadenia semidigyna,CLM,138
39,Odontadenia semidigyna,COS,84
39,Odontadenia semidigyna,ECU,90
39,Odontadenia semidigyna,FRG,85
39,Odontadenia semidigyna,GUA,67
39,Odontadenia semidigyna,GUY,84
39,Odontadenia semidigyna,HON,63
39,Odontadenia semidigyna,MXS,67
39,Odontadenia semidigyna,MXT,72
39,Odontadenia semidigyna,NIC,70
39,Odontadenia semidigyna,PAN,89
39,Odontadenia semidigyna,PER,121
39,Odontadenia semidigyna,SUR,77
39,Odontadenia semidigyna,TRT,43
39,Odontadenia semidigyna,VEN,116
40,Schultesia guianensis,AGE,35
40,Schultesia guianensis,BKN,46
40,Schultesia guianensis,BLZ,53
40,Schultesia guianensis,BOL,122
40,Schultesia guianensis,BZC,97
40,Schultesia guianensis,BZE,101
40,Schultesia guianensis,BZL,109
40,Schultesia guianensis,BZN,145
40,Schultesia guianensis,CHA,37
40,Schultesia guianensis,CLM,138
40,Schultesia guianensis,COS,84
40,Schultesia guianensis,CUB,45
40,Schultesia guianensis,DOM,34
40,Schultesia guianensis,ECU,90
40,Schultesia guianensis,ELS,42
40,Schultesia guianensis,FRG,85
40,Schultesia guianensis,GAM,29
40,Schultesia guianensis,GNB,48
40,Schultesia guianensis,GUA,67
40,Schultesia guianensis,GUI,89
40,Schultesia guianensis,GUY,84
40,Schultesia guianensis,HON,63
40,Schultesia guianensis,JAM,26
40,Schultesia guianensis,MLI,41
40,Schultesia guianensis,MXE,55
40,Schultesia guianensis,MXG,61
40,Schultesia guianensis,MXN,37
40,Schultesia guianensis,MXS,67
40,Schultesia guianensis,MXT,72
40,Schultesia guianensis,NGR,16
40,Schultesia guianensis,NIC,70
40,Schultesia guianensis,PAN,89
40,Schultesia guianensis,PAR,51
40,Schultesia guianensis,SEN,55
40,Schultesia guianensis,SIE,73
40,Schultesia guianensis,SUR,77
40,Schultesia guianensis,TRT,43
40,Schultesia guianensis,VEN,116
41,Eustoma russellianum,ARK,14
41,Eustoma russellianum,COL,21
41,Eustoma russellianum,KAN,10
41,Eustoma russellianum,LOU,16
41,Eustoma russellianum,MNT,16
41,Eustoma russellianum,MXE,55
41,Eustoma russellianum,NEB,12
41,Eustoma russellianum,NWM,24
41,Eustoma russellianum,OKL,13
41,Eustoma russellianum,SDA,13
41,Eustoma russellianum,TEX,27
41,Eustoma russellianum,WYO,15
42,Rauvolfia hookeri,IND,142
43,Telosma procumbens,CHC,226
43,Telosma procumbens,CHH,84
43,Telosma procumbens,CHS,179
43,Telosma procumbens,PHI,93
43,Telosma procumbens,VIE,201
44,Swertia macrosperma,ASS,118
44,Swertia macrosperma,CHC,226
44,Swertia macrosperma,CHS,179
44,Swertia macrosperma,CHT,73
44,Swertia macrosperma,EHM,114
44,Swertia macrosperma,MYA,174
44,Swertia macrosperma,NEP,108
44,Swertia macrosperma,TAI,89
45,Tabernaemontana hystrix,BZC,97
45,Tabernaemontana hystrix,BZE,101
45,Tabernaemontana hystrix,BZL,109
46,Gongronemopsis tenacissima,ASS,118
46,Gongronemopsis tenacissima,BAN,125
46,Gongronemopsis tenacissima,CBD,139
46,Gongronemopsis tenacissima,CHC,226
46,Gongronemopsis tenacissima,EHM,114
46,Gongronemopsis tenacissima,IND,142
46,Gongronemopsis tenacissima,LAO,120
46,Gongronemopsis tenacissima,MYA,174
46,Gongronemopsis tenacissima,NEP,108
46,Gongronemopsis tenacissima,SRL,92
46,Gongronemopsis tenacissima,THA,205
46,Gongronemopsis tenacissima,VIE,201
46,Gongronemopsis tenacissima,WHM,82
47,Funastrum clausum,AGE,35
47,Funastrum clausum,AGW,15
47,Funastrum clausum,BAH,16
47,Funastrum clausum,BLZ,53
47,Funastrum clausum,BOL,122
47,Funastrum clausum,BZC,97
47,Funastrum clausum,BZE,101
47,Funastrum clausum,BZL,109
47,Funastrum clausum,BZN,145
47,Funastrum clausum,BZS,55
47,Funastrum clausum,CAY,14
47,Funastrum clausum,CLM,138
47,Funastrum clausum,COS,84
47,Funastrum clausum,CUB,45
47,Funastrum clausum,DOM,34
47,Funastrum clausum,ECU,90
47,Funastrum clausum,ELS,42
47,Funastrum clausum,FLA,25
47,Funastrum clausum,FRG,85
47,Funastrum clausum,GUA,67
47,Funastrum clausum,GUY,84
47,Funastrum clausum,HAI,31
47,Funastrum clausum,HON,63
47,Funastrum clausum,JAM,26
47,Funastrum clausum,MXC,44
47,Funastrum clausum,MXE,55
47,Funastrum clausum,MXG,61
47,Funastrum clausum,MXN,37
47,Funastrum clausum,MXS,67
47,Funastrum clausum,MXT,72
47,Funastrum clausum,NIC,70
47,Funastrum clausum,PAN,89
47,Funastrum clausum,PAR,51
47,Funastrum clausum,PER,121
47,Funastrum clausum,SUR,77
47,Funastrum clausum,TEX,27
47,Funastrum clausum,TRT,43
47,Funastrum clausum,URU,16
47,Funastrum clausum,VEN,116
47,Funastrum clausum,VNA,18
47,Funastrum clausum,WIN,30
48,Ochrosia moorei,NSW,18
48,Ochrosia moorei,QLD,56
49,Palicourea muscosa,BZN,145
49,Palicourea muscosa,CLM,138
49,Palicourea muscosa,FRG,85
49,Palicourea muscosa,GUY,84
49,Palicourea muscosa,LEE,32
49,Palicourea muscosa,PAN,89
49,Palicourea muscosa,SUR,77
49,Palicourea muscosa,TRT,43
49,Palicourea muscosa,VEN,116
49,Palicourea muscosa,VNA,18
49,Palicourea muscosa,WIN,30
50,Palicourea cyanococca,BLZ,53
50,Palicourea cyanococca,CLM,138
50,Palicourea cyanococca,COS,84
50,Palicourea cyanococca,ECU,90
50,Palicourea cyanococca,GUA,67
50,Palicourea cyanococca,HON,63
50,Palicourea cyanococca,MXT,72
50,Palicourea cyanococca,NIC,70
50,Palicourea cyanococca,PAN,89
51,Simira salvadorensis,BLZ,53
51,Simira salvadorensis,ELS,42
51,Simira salvadorensis,GUA,67
51,Simira salvadorensis,HON,63
51,Simira salvadorensis,MXG,61
51,Simira salvadorensis,MXS,67
51,Simira salvadorensis,MXT,72
52,Tripterospermum lanceolatum,TAI,89
53,Stephanotis volubilis,AND,62
53,Stephanotis volubilis,ASS,118
53,Stephanotis volubilis,BAN,125
53,Stephanotis volubilis,CBD,139
53,Stephanotis volubilis,CHC,226
53,Stephanotis volubilis,CHS,179
53,Stephanotis volubilis,EHM,114
53,Stephanotis volubilis,IND,142
53,Stephanotis volubilis,JAW,102
53,Stephanotis volubilis,LAO,120
53,Stephanotis volubilis,MLY,152
53,Stephanotis volubilis,MYA,174
53,Stephanotis volubilis,NCB,44
53,Stephanotis volubilis,NEP,108
53,Stephanotis volubilis,PAK,61
53,Stephanotis volubilis,PHI,93
53,Stephanotis volubilis,SRL,92
53,Stephanotis volubilis,TAI,89
53,Stephanotis volubilis,THA,205
53,Stephanotis volubilis,VIE,201
53,Stephanotis volubilis,WHM,82
54,Psydrax splendens,CMN,125
54,Psydrax splendens,GAB,99
54,Psydrax splendens,NGA,116
54,Psydrax splendens,ZAI,136
55,Helia alata,ECU,90
55,Helia alata,FRG,85
55,Helia alata,GUY,84
55,Helia alata,NIC,70
55,Helia alata,PAN,89
55,Helia alata,SUR,77
55,Helia alata,TRT,43
55,Helia alata,VEN,116
56,Leptadenia lanceolata,ALG,26
56,Leptadenia lanceolata,BEN,73
56,Leptadenia lanceolata,BKN,46
56,Leptadenia lanceolata,CAF,95
56,Leptadenia lanceolata,CHA,37
56,Leptadenia lanceolata,CMN,125
56,Leptadenia lanceolata,ETH,47
56,Leptadenia lanceolata,GAM,29
56,Leptadenia lanceolata,GHA,85
56,Leptadenia lanceolata,GNB,48
56,Leptadenia lanceolata,GUI,89
56,Leptadenia lanceolata,IVO,93
56,Leptadenia lanceolata,KEN,85
56,Leptadenia lanceolata,LBY,18
56,Leptadenia lanceolata,MLI,41
56,Leptadenia lanceolata,MTN,14
56,Leptadenia lanceolata,NGA,116
56,Leptadenia lanceolata,NGR,16
56,Leptadenia lanceolata,SEN,55
56,Leptadenia lanceolata,SUD,72
56,Leptadenia lanceolata,TAN,109
56,Leptadenia lanceolata,UGA,76
57,Halenia asclepiadea,CLM,138
57,Halenia asclepiadea,PER,121
58,Stenostomum lucidum,BAH,16
58,Stenostomum lucidum,BLZ,53
58,Stenostomum lucidum,CUB,45
58,Stenostomum lucidum,DOM,34
58,Stenostomum lucidum,GUA,67
58,Stenostomum lucidum,HAI,31
58,Stenostomum lucidum,HON,63
58,Stenostomum lucidum,JAM,26
58,Stenostomum lucidum,LEE,32
58,Stenostomum lucidum,MXG,61
58,Stenostomum lucidum,MXT,72
58,Stenostomum lucidum,PUE,28
58,Stenostomum lucidum,SWC,15
58,Stenostomum lucidum,TCI,8
59,Cruciata pedemontana,AFG,37
59,Cruciata pedemontana,ALB,36
59,Cruciata pedemontana,AUT,44
59,Cruciata pedemontana,BUL,49
59,Cruciata pedemontana,COR,23
59,Cruciata pedemontana,CYP,14
59,Cruciata pedemontana,CZE,36
59,Cruciata pedemontana,EAI,22
59,Cruciata pedemontana,FRA,49
59,Cruciata pedemontana,GRC,44
59,Cruciata pedemontana,HUN,26
59,Cruciata pedemontana,IRN,40
59,Cruciata pedemontana,IRQ,26
59,Cruciata pedemontana,ITA,53
59,Cruciata pedemontana,KAZ,37
59,Cruciata pedemontana,KRY,28
59,Cruciata pedemontana,LBS,25
59,Cruciata pedemontana,MOR,25
59,Cruciata pedemontana,POR,25
59,Cruciata pedemontana,ROM,43
59,Cruciata pedemontana,RUS,26
59,Cruciata pedemontana,SAR,22
59,Cruciata pedemontana,SIC,23
59,Cruciata pedemontana,SPA,40
59,Cruciata pedemontana,SWI,42
59,Cruciata pedemontana,TCS,37
59,Cruciata pedemontana,TKM,17
59,Cruciata pedemontana,TUE,26
59,Cruciata pedemontana,TUR,47
59,Cruciata pedemontana,TZK,26
59,Cruciata pedemontana,UKR,39
59,Cruciata pedemontana,UZB,24
59,Cruciata pedemontana,YUG,53
60,Posoqueria latifolia,BLZ,53
60,Posoqueria latifolia,BOL,122
60,Posoqueria latifolia,BZC,97
60,Posoqueria latifolia,BZE,101
60,Posoqueria latifolia,BZL,109
60,Posoqueria latifolia,BZN,145
60,Posoqueria latifolia,BZS,55
60,Posoqueria latifolia,CLM,138
60,Posoqueria latifolia,COS,84
60,Posoqueria latifolia,CUB,45
60,Posoqueria latifolia,ECU,90
60,Posoqueria latifolia,ELS,42
60,Posoqueria latifolia,FRG,85
60,Posoqueria latifolia,GUA,67
60,Posoqueria latifolia,GUY,84
60,Posoqueria latifolia,HON,63
60,Posoqueria latifolia,MXG,61
60,Posoqueria latifolia,MXS,67
60,Posoqueria latifolia,MXT,72
60,Posoqueria latifolia,NIC,70
60,Posoqueria latifolia,PAN,89
60,Posoqueria latifolia,PER,121
60,Posoqueria latifolia,SUR,77
60,Posoqueria latifolia,VEN,116
61,Mandevilla illustris,BOL,122
61,Mandevilla illustris,BZC,97
61,Mandevilla illustris,BZE,101
61,Mandevilla illustris,BZL,109
61,Mandevilla illustris,BZS,55
61,Mandevilla illustris,PAR,51
62,Afrocanthium gilfillanii,BOT,24
62,Afrocanthium gilfillanii,NAT,45
62,Afrocanthium gilfillanii,SWZ,34
62,Afrocanthium gilfillanii,TVL,47
63,Swertia alata,EHM,114
63,Swertia alata,IND,142
63,Swertia alata,NEP,108
63,Swertia alata,PAK,61
63,Swertia alata,WHM,82
64,Coprosma linariifolia,NZN,13
64,Coprosma linariifolia,NZS,12
65,Mussaenda hirsutissima,IND,142
66,Tabernaemontana capuronii,MDG,65
67,Tabernaemontana psorocarpa,CMN,125
67,Tabernaemontana psorocarpa,GAB,99
67,Tabernaemontana psorocarpa,NGA,116
68,Trachelospermum jasminoides,CHC,226
68,Trachelospermum jasminoides,CHH,84
68,Trachelospermum jasminoides,CHN,69
68,Trachelospermum jasminoides,CHS,179
68,Trachelospermum jasminoides,CHT,73
68,Trachelospermum jasminoides,JAP,66
68,Trachelospermum jasminoides,KOR,45
68,Trachelospermum jasminoides,TAI,89
68,Trachelospermum jasminoides,VIE,201
69,Coussarea macrophylla,BZN,145
69,Coussarea macrophylla,CLM,138
69,Coussarea macrophylla,ECU,90
69,Coussarea macrophylla,PER,121
70,Leichhardtia rostrata,NFK,2
70,Leichhardtia rostrata,NSW,18
70,Leichhardtia rostrata,QLD,56
70,Leichhardtia rostrata,VIC,3
71,Catharanthus pusillus,IND,142
71,Catharanthus pusillus,NEP,108
71,Catharanthus pusillus,SRL,92
71,Catharanthus pusillus,WHM,82
72,Morinda morindoides,ANG,77
72,Morinda morindoides,BEN,73
72,Morinda morindoides,CAB,37
72,Morinda morindoides,CAF,95
72,Morinda morindoides,CMN,125
72,Morinda morindoides,CON,102
72,Morinda morindoides,GAB,99
72,Morinda morindoides,GGI,33
72,Morinda morindoides,GHA,85
72,Morinda morindoides,GNB,48
72,Morinda morindoides,GUI,89
72,Morinda morindoides,IVO,93
72,Morinda morindoides,LBR,77
72,Morinda morindoides,NGA,116
72,Morinda morindoides,SEN,55
72,Morinda morindoides,SIE,73
72,Morinda morindoides,SUD,72
72,Morinda morindoides,ZAI,136
73,Himalrandia tetrasperma,AFG,37
73,Himalrandia tetrasperma,ASS,118
73,Himalrandia tetrasperma,BAN,125
73,Himalrandia tetrasperma,EHM,114
73,Himalrandia tetrasperma,IND,142
73,Himalrandia tetrasperma,NEP,108
73,Himalrandia tetrasperma,PAK,61
73,Himalrandia tetrasperma,WHM,82
74,Centaurium littorale,ALB,36
74,Centaurium littorale,AUT,44
74,Centaurium littorale,BGM,22
74,Centaurium littorale,BLR,21
74,Centaurium littorale,BLT,19
74,Centaurium littorale,CZE,36
74,Centaurium littorale,DEN,14
74,Centaurium littorale,FIN,14
74,Centaurium littorale,FRA,49
74,Centaurium littorale,GER,38
74,Centaurium littorale,GRB,19
74,Centaurium littorale,IRE,13
74,Centaurium littorale,KAZ,37
74,Centaurium littorale,NET,22
74,Centaurium littorale,NOR,19
74,Centaurium littorale,POL,29
74,Centaurium littorale,POR,25
74,Centaurium littorale,ROM,43
74,Centaurium littorale,RUC,22
74,Centaurium littorale,RUE,25
74,Centaurium littorale,RUS,26
74,Centaurium littorale,RUW,20
74,Centaurium littorale,SPA,40
74,Centaurium littorale,SWE,18
74,Centaurium littorale,SWI,42
74,Centaurium littorale,TKM,17
74,Centaurium littorale,UKR,39
74,Centaurium littorale,UZB,24
74,Centaurium littorale,YUG,53
75,Gentianella bulgarica,ALB,36
75,Gentianella bulgarica,BUL,49
75,Gentianella bulgarica,GRC,44
75,Gentianella bulgarica,ROM,43
75,Gentianella bulgarica,YUG,53
76,Vincetoxicum indicum,AND,62
76,Vincetoxicum indicum,ASS,118
76,Vincetoxicum indicum,BAN,125
76,Vincetoxicum indicum,BOR,100
76,Vincetoxicum indicum,CBD,139
76,Vincetoxicum indicum,IND,142
76,Vincetoxicum indicum,LAO,120
76,Vincetoxicum indicum,LDV,12
76,Vincetoxicum indicum,MLY,152
