,accepted_species,Assigned_group,number_of_species_in_group
124,Aspidosperma quebracho-blanco,URU,6
140,Bouvardia ternifolia,ARI,11
140,Bouvardia ternifolia,HON,26
140,Bouvardia ternifolia,MXC,26
140,Bouvardia ternifolia,MXE,31
140,Bouvardia ternifolia,MXG,31
140,Bouvardia ternifolia,MXN,24
140,Bouvardia ternifolia,MXS,35
140,Bouvardia ternifolia,NWM,11
140,Bouvardia ternifolia,TEX,16
142,Breonia chinensis,MDG,14
143,Buchozia japonica,CHC,72
143,Buchozia japonica,CHS,69
143,Buchozia japonica,TAI,34
145,Callichilia barteri,BEN,35
145,Callichilia barteri,CMN,41
145,Callichilia barteri,CON,35
145,Callichilia barteri,NGA,42
145,Callichilia barteri,TOG,26
145,Callichilia barteri,ZAI,47
148,Calotropis gigantea,ASS,57
148,Calotropis gigantea,BAN,81
148,Calotropis gigantea,CBD,79
148,Calotropis gigantea,CHC,72
148,Calotropis gigantea,CHH,38
148,Calotropis gigantea,CHS,69
148,Calotropis gigantea,EHM,46
148,Calotropis gigantea,IND,78
148,Calotropis gigantea,JAW,60
148,Calotropis gigantea,LAO,62
148,Calotropis gigantea,LDV,11
148,Calotropis gigantea,MDV,7
148,Calotropis gigantea,MLY,80
148,Calotropis gigantea,MYA,88
148,Calotropis gigantea,NEP,41
148,Calotropis gigantea,SRL,61
148,Calotropis gigantea,SUL,37
148,Calotropis gigantea,THA,98
148,Calotropis gigantea,VIE,99
149,Calotropis procera,AFG,10
149,Calotropis procera,ALG,13
149,Calotropis procera,ASS,57
149,Calotropis procera,BAN,81
149,Calotropis procera,BEN,35
149,Calotropis procera,BKN,24
149,Calotropis procera,CAF,37
149,Calotropis procera,CBD,79
149,Calotropis procera,CHA,21
149,Calotropis procera,CMN,41
149,Calotropis procera,CNY,3
149,Calotropis procera,CON,35
149,Calotropis procera,CVI,4
149,Calotropis procera,DJI,8
149,Calotropis procera,EGY,7
149,Calotropis procera,EHM,46
149,Calotropis procera,ERI,11
149,Calotropis procera,ETH,22
149,Calotropis procera,GAM,20
149,Calotropis procera,GGI,17
149,Calotropis procera,GHA,35
149,Calotropis procera,GNB,26
149,Calotropis procera,GST,5
149,Calotropis procera,GUI,37
149,Calotropis procera,IND,78
149,Calotropis procera,IRN,14
149,Calotropis procera,IVO,36
149,Calotropis procera,KEN,31
149,Calotropis procera,KUW,1
149,Calotropis procera,LBS,11
149,Calotropis procera,LBY,9
149,Calotropis procera,MLI,21
149,Calotropis procera,MLW,25
149,Calotropis procera,MOR,10
149,Calotropis procera,MOZ,28
149,Calotropis procera,MTN,9
149,Calotropis procera,MYA,88
149,Calotropis procera,NEP,41
149,Calotropis procera,NGA,42
149,Calotropis procera,NGR,11
149,Calotropis procera,OMA,12
149,Calotropis procera,PAK,24
149,Calotropis procera,PAL,13
149,Calotropis procera,SAU,13
149,Calotropis procera,SEN,26
149,Calotropis procera,SIE,27
149,Calotropis procera,SIN,6
149,Calotropis procera,SOC,8
149,Calotropis procera,SOM,16
149,Calotropis procera,SUD,30
149,Calotropis procera,TAN,38
149,Calotropis procera,THA,98
149,Calotropis procera,TUN,8
149,Calotropis procera,UGA,32
149,Calotropis procera,VIE,99
149,Calotropis procera,WSA,2
149,Calotropis procera,YEM,12
149,Calotropis procera,ZAI,47
149,Calotropis procera,ZAM,23
149,Calotropis procera,ZIM,20
157,Carapichea ipecacuanha,BZC,31
157,Carapichea ipecacuanha,BZE,33
157,Carapichea ipecacuanha,BZL,34
157,Carapichea ipecacuanha,BZN,43
157,Carapichea ipecacuanha,BZS,16
157,Carapichea ipecacuanha,CLM,47
157,Carapichea ipecacuanha,COS,35
157,Carapichea ipecacuanha,NIC,31
157,Carapichea ipecacuanha,PAN,35
159,Carissa carandas,BAN,81
159,Carissa carandas,IND,78
