"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"334",334,2314.598672,67.727863,168
"17",17,2416.7948195,67.727863,173
"19",19,1557.3152555,67.727863,100
"52",52,2224.728683,67.727863,160
"68",68,2143.0599325,67.727863,168
"79",79,1412.55335,67.727863,89
"121",121,1904.79876,67.727863,121
"137",137,2788.8147095,67.727863,217
"170",170,2810.83966,67.727863,208
"197",197,2130.388042,67.727863,158
"198",198,2095.96319,67.727863,146
"227",227,2402.754622,67.727863,189
"270",270,1279.6257,67.727863,72
"307",307,2388.0961865,67.727863,161
"51",51,910.125749,67.727863,42
"75",75,1887.8363685,67.727863,123
"139",139,2600.0244035,67.727863,223
"189",189,1840.3513175,67.727863,138
"206",206,1463.813125,67.727863,91
"208",208,1893.523407,67.727863,138
"255",255,2379.9404205,67.727863,183
"285",285,2601.763185,67.727863,216
"319",319,2108.0940775,67.727863,136
"330",330,1422.2112825,67.727863,86
"346",346,615.028094,67.727863,25
"7",7,954.9285265,67.727863,45
"101",101,1203.607474,67.727863,69
"117",117,2148.176978,67.727863,163
"127",127,2601.6244515,67.727863,186
"209",209,2474.05466,67.727863,187
"254",254,1809.217806,67.727863,137
"262",262,2123.7066595,67.727863,158
"292",292,2642.889557,67.727863,211
"308",308,2282.951022,67.727863,153
"312",312,1113.454963,67.727863,63
"326",326,2207.953419,67.727863,169
"337",337,1623.34311,67.727863,110
"339",339,956.512288,67.727863,45
"28",28,2773.153102,67.727863,225
"76",76,1271.5962365,67.727863,72
"118",118,902.172343,67.727863,39
"336",336,2716.5852425,67.727863,204
"345",345,1700.5719525,67.727863,112
"1",1,2155.914338,67.727863,161
"15",15,1435.626835,67.727863,73
"25",25,2392.917212,67.727863,192
"49",49,1475.248469,67.727863,84
"63",63,1998.540935,67.727863,144
"145",145,2147.5029605,67.727863,166
"161",161,2502.3686905,67.727863,176
"183",183,2288.282367,67.727863,157
"195",195,2162.0992535,67.727863,133
"234",234,696.482118,67.727863,31
"278",278,1692.081232,67.727863,113
"297",297,1517.783857,67.727863,86
"305",305,1151.844001,67.727863,59
"313",313,2160.9200855,67.727863,161
"333",333,2188.0073605,67.727863,165
"74",74,1509.247875,67.727863,89
"80",80,904.359612,67.727863,39
"83",83,2427.3003845,67.727863,191
"97",97,2299.9685075,67.727863,151
"147",147,2044.180405,67.727863,130
"332",332,1400.324233,67.727863,82
"37",37,1648.8391925,67.727863,117
"95",95,1665.554614,67.727863,114
"102",102,2857.0599755,67.727863,225
"158",158,2460.7628225,67.727863,199
"213",213,1470.8283775,67.727863,82
"219",219,1736.681814,67.727863,102
"245",245,2161.683361,67.727863,151
"300",300,2554.9879035,67.727863,219
"48",48,1968.664257,67.727863,156
"181",181,2647.208292,67.727863,200
"272",272,2103.4347595,67.727863,141
"10",10,771.780322,67.727863,37
"20",20,2009.681959,67.727863,162
"58",58,2314.6508895,67.727863,153
"112",112,2386.437664,67.727863,187
"157",157,2223.690012,67.727863,159
"242",242,1014.24912,67.727863,49
"335",335,1655.645212,67.727863,94
"33",33,2901.318271,67.727863,221
"94",94,2285.505071,67.727863,177
"113",113,1583.639247,67.727863,103
"172",172,995.41073,67.727863,45
"176",176,2401.468169,67.727863,181
"304",304,619.312136,67.727863,23
"162",162,1340.799846,67.727863,75
"180",180,607.398911,67.727863,20
"201",201,2495.1389625,67.727863,186
"241",241,974.29691,67.727863,48
"295",295,1852.7139495,67.727863,123
"343",343,855.556022,67.727863,36
"24",24,2482.6725505,67.727863,180
"100",100,1824.4664445,67.727863,124
"116",116,960.654949,67.727863,43
"133",133,2015.864688,67.727863,153
"182",182,1919.632032,67.727863,132
"260",260,1354.4615415,67.727863,82
"279",279,439.673126,67.727863,13
"36",36,2400.6892755,67.727863,191
"69",69,2806.1290335,67.727863,212
"88",88,1976.4878555,67.727863,138
"38",38,1605.0714455,67.727863,100
"46",46,1917.781518,67.727863,117
"62",62,1662.6807085,67.727863,92
"220",220,1506.913676,67.727863,86
"263",263,798.558722,67.727863,36
"120",120,354.740281,67.727863,11
"123",123,538.015887,67.727863,20
"140",140,956.060815,67.727863,48
"261",261,1084.924946,67.727863,60
"322",322,2525.8690375,67.727863,187
"56",56,1284.8605335,67.727863,74
"216",216,622.217851,67.727863,21
"12",12,2211.8754795,67.727863,160
"85",85,303.276416,67.727863,7
"130",130,1693.499679,67.727863,113
"185",185,1189.499956,67.727863,64
"194",194,930.286496,67.727863,45
"232",232,1708.37908,67.727863,100
"39",39,1231.536393,67.727863,68
"96",96,984.919944,67.727863,40
"276",276,2549.3776195,67.727863,186
"325",325,439.214837,67.727863,12
"122",122,1013.483929,67.727863,45
"228",228,1550.8069,67.727863,106
"73",73,475.020674,67.727863,11
"155",155,1070.603369,67.727863,53
"171",171,1365.014755,67.727863,74
"215",215,1167.426344,67.727863,61
"342",342,1167.667899,67.727863,64
"4",4,660.923558,67.727863,26
"87",87,1711.306664,67.727863,112
"199",199,1520.1560665,67.727863,97
"267",267,1994.4903185,67.727863,133
"13",13,1493.006249,67.727863,88
"61",61,655.638725,67.727863,23
"237",237,802.001298,67.727863,38
"317",317,445.912403,67.727863,15
"105",105,1021.301376,67.727863,45
"271",271,641.07436,67.727863,20
"289",289,601.52994,67.727863,20
"0",0,1076.22609,67.727863,49
"222",222,1301.9737485,67.727863,73
"311",311,1492.715435,67.727863,83
"104",104,866.59685,67.727863,38
"107",107,914.476669,67.727863,48
"178",178,1109.733699,67.727863,58
"281",281,1314.702927,67.727863,84
"54",54,1151.575383,67.727863,66
"91",91,1670.6299485,67.727863,103
"14",14,793.108683,67.727863,37
"89",89,1321.4395355,67.727863,83
"144",144,726.183501,67.727863,34
"86",86,1876.1733515,67.727863,127
"124",124,749.324147,67.727863,30
"247",247,1872.012459,67.727863,130
"11",11,445.702724,67.727863,17
"143",143,1189.339049,67.727863,62
"186",186,2167.360763,67.727863,161
"16",16,1309.940463,67.727863,73
"240",240,1268.3237585,67.727863,69
"250",250,1440.292353,67.727863,76
"211",211,784.962066,67.727863,30
"192",192,1295.879623,67.727863,68
"167",167,1369.887697,67.727863,81
"71",71,543.435976,67.727863,19
"98",98,879.811448,67.727863,38
"207",207,252.348511,67.727863,7
"284",284,500.103462,67.727863,17
"129",129,916.865688,67.727863,43
"243",243,325.809731,67.727863,10
"264",264,735.059655,67.727863,31
"303",303,490.629272,67.727863,14
"288",288,867.856331,67.727863,46
"273",273,1209.816217,67.727863,65
"174",174,563.637207,67.727863,21
"35",35,378.342466,67.727863,11
"40",40,758.344371,67.727863,32
"72",72,691.851543,67.727863,36
"191",191,481.097292,67.727863,14
"327",327,816.275308,67.727863,34
"233",233,1002.6906055,67.727863,47
"302",302,715.96304,67.727863,30
"293",293,590.556798,67.727863,26
"251",251,868.19842,67.727863,38
"65",65,350.297915,67.727863,10
"125",125,678.211272,67.727863,29
"283",283,297.075368,67.727863,8
"179",179,508.013737,67.727863,14
"344",344,283.987547,67.727863,6
"3",3,557.900915,67.727863,22
"66",66,897.2462635,67.727863,38
"153",153,600.165344,67.727863,21
"266",266,182.086469,60.047505,4
"218",218,183.078023,67.727863,6
"269",269,381.330474,67.727863,12
"26",26,221.484751,67.727863,5
"291",291,330.790838,67.727863,7
"27",27,447.857333,67.727863,14
"238",238,70.409422,35.204711,2
"111",111,135.455726,67.727863,2
