"","LEVEL3_NAM","tdwg3_codes","LEVEL2_COD","LEVEL1_COD","animal_richness"
"132","Hungary","HUN","11","1",261.384615384615
"133","Iceland","ICE","10","1",54.4220183486239
"134","Idaho","IDA","73","7",256.138655462185
"135","Illinois","ILL","74","7",252.269938650307
"136","India","IND","40","4",419.018587360595
"137","Indiana","INI","75","7",253.460784313725
"138","Iowa","IOW","74","7",226.726666666667
"139","Ireland","IRE","10","1",146.223529411765
"140","Irkutsk","IRK","30","3",227.245348837209
"141","Iran","IRN","34","3",194.993322203673
"142","Iraq","IRQ","34","3",131.405405405405
"143","Italy","ITA","13","1",232.572519083969
"144","Ivory Coast","IVO","22","2",610.678770949721
"145","Jamaica","JAM","81","8",227.4
"146","Japan","JAP","38","3",239.064864864865
"147","Jawa","JAW","42","4",547.347826086957
"148","Juan Fernández Is.","JNF","85","8",NA
"149","Kamchatka","KAM","31","3",133.714285714286
"150","Kansas","KAN","74","7",235.051724137931
"151","Kazakhstan","KAZ","32","3",210.87245409015
"152","Kerguelen","KEG","90","9",49
"153","Kenya","KEN","25","2",582.335889570552
"154","Kermadec Is.","KER","51","5",NA
"155","Kirgizistan","KGZ","32","3",264.072072072072
"156","Khabarovsk","KHA","31","3",214.241340782123
"157","Korea","KOR","38","3",241.502222222222
"158","Krasnoyarsk","KRA","30","3",140.346360153257
"159","Kriti","KRI","13","1",167.833333333333
"160","Krym","KRY","14","1",238.2
"161","Kentucky","KTY","78","7",258.957983193277
"162","Kuril Is.","KUR","31","3",164.714285714286
"163","Kuwait","KUW","35","3",180.842105263158
"164","Kazan-retto","KZN","38","3",NA
"165","Labrador","LAB","72","7",101.368421052632
"166","Laos","LAO","41","4",721.054263565891
"167","Liberia","LBR","22","2",616.657407407407
"168","Lebanon-Syria","LBS","34","3",148.381818181818
"169","Libya","LBY","20","2",52.9771077610274
"170","Laccadive Is.","LDV","40","4",NA
"171","Leeward Is. AB Ant","LEE","81","8",NA
"172","Lesotho","LES","27","2",335.294117647059
"173","Line Is.","LIN","61","6",NA
"174","Louisiana","LOU","78","7",301.095238095238
"175","Lesser Sunda Is.","LSI","42","4",298.494252873563
"176","Magadan","MAG","31","3",125.773121387283
"177","Maine","MAI","75","7",227.25
"178","Manitoba","MAN","71","7",172.295580110497
"179","Macquarie Is.","MAQ","90","9",NA
"180","Massachusetts","MAS","75","7",255.217391304348
"181","Mauritius","MAU","29","2",56
"182","Mozambique Channel Is.","MCI","29","2",NA
"183","Marcus I.","MCS","62","6",NA
"184","Madagascar","MDG","29","2",216.717628705148
"185","Madeira","MDR","21","2",NA
"186","Maldives","MDV","40","4",NA
"187","Michigan","MIC","75","7",248.40251572327
"188","Minnesota","MIN","74","7",232.915322580645
"189","Mali","MLI","22","2",224.533285612026
"190","Malawi","MLW","26","2",702.045454545455
"191","Malaya","MLY","42","4",776.6875
"192","Montana","MNT","73","7",238.582338902148
"193","Maluku","MOL","42","4",261.148936170213
"194","Mongolia","MON","37","3",192.042553191489
"195","Morocco","MOR","20","2",211.281531531532
"196","Mozambique","MOZ","26","2",540.568129330254
"197","Marion-Prince Edward Is.","MPE","90","9",NA
"198","Marianas","MRN","62","6",NA
"199","Marquesas","MRQ","61","6",NA
"200","Marshall Is.","MRS","62","6",NA
"201","Maryland","MRY","78","7",303.047619047619
"202","Mississippi","MSI","78","7",294.654929577465
"203","Missouri","MSO","74","7",267.685714285714
"204","Mauritania","MTN","22","2",99.9022298456261
"205","Mexico Central","MXC","79","7",442.58024691358
"206","Mexico Northeast","MXE","79","7",340.612836438923
"207","Mexico Gulf","MXG","79","7",556.246575342466
"208","Mexican Pacific Is.","MXI","79","7",NA
"209","Mexico Northwest","MXN","79","7",318.738154613466
"210","Mexico Southwest","MXS","79","7",489.298342541436
"211","Mexico Southeast","MXT","79","7",489.889328063241
"212","Myanmar","MYA","41","4",663.499316005472
"213","Namibia","NAM","27","2",367.133779264214
"214","KwaZulu-Natal","NAT","27","2",586.259615384615
"215","New Brunswick","NBR","72","7",217.275
"216","North Carolina","NCA","78","7",284.558620689655
"217","Nicobar Is.","NCB","41","4",NA
"218","North Caucasus","NCS","33","3",247.279569892473
"219","North Dakota","NDA","74","7",218.312195121951
"220","Nebraska","NEB","74","7",219.229166666667
"221","Nepal","NEP","40","4",548.89880952381
"222","Netherlands","NET","11","1",233.911764705882
"223","Nevada","NEV","76","7",249.915887850467
"224","Norfolk Is.","NFK","50","5",NA
"225","Newfoundland","NFL","72","7",122.247619047619
"226","Nigeria","NGA","22","2",529.467980295566
"227","Niger","NGR","22","2",167.234980988593
"228","Nicaragua","NIC","80","8",542.307142857143
"229","Netherlands Antilles","NLA","81","8",NA
"230","Nansei-shoto","NNS","38","3",NA
"231","Norway","NOR","10","1",172.107692307692
"232","Nauru","NRU","60","6",NA
"233","Nova Scotia","NSC","72","7",220.942307692308
"234","New South Wales","NSW","50","5",350.6
"235","Northern Territory","NTA","50","5",289.758528428094
"236","Niue","NUE","60","6",NA
"237","Nunavut","NUN","70","7",47.5942910622368
"238","New Caledonia","NWC","60","6",156.882352941176
"239","New Guinea","NWG","43","4",407.423690205011
"240","New Hampshire","NWH","75","7",236.384615384615
"241","New Jersey","NWJ","75","7",295.947368421053
"242","New Mexico","NWM","77","7",299.377142857143
"243","Northwest Territories","NWT","70","7",108.246753246753
"244","New York","NWY","75","7",251.051470588235
"245","New Zealand North","NZN","51","5",85.4909090909091
"246","New Zealand South","NZS","51","5",73.3710691823899
"247","Free State","OFS","27","2",404.027586206897
"248","Ogasawara-shoto","OGA","38","3",NA
"249","Ohio","OHI","75","7",246.862068965517
"250","Oklahoma","OKL","74","7",273.673366834171
"251","Oman","OMA","35","3",117.685294117647
"252","Ontario","ONT","72","7",184.298808432631
"253","Oregon","ORE","73","7",266.003717472119
"254","Pakistan","PAK","40","4",270.135593220339
"255","Palestine","PAL","34","3",163.162790697674
"256","Panama","PAN","80","8",738.302631578947
"257","Paraguay","PAR","85","8",562.163310961969
"258","Prince Edward I.","PEI","72","7",184
"259","Pennsylvania","PEN","75","7",258.402877697842
"260","Peru","PER","83","8",666.628571428571
"261","Philippines","PHI","42","4",418.758241758242
"262","Phoenix Is.","PHX","60","6",NA
"263","Pitcairn Is.","PIT","61","6",NA
"264","Poland","POL","11","1",246.593567251462
"265","Portugal","POR","12","1",223.655913978495
"266","Primorye","PRM","31","3",285.408839779006
"267","Puerto Rico","PUE","81","8",205.8
"268","Queensland","QLD","50","5",345.0412963931
"269","Québec","QUE","72","7",120.51715833835
"270","Réunion","REU","29","2",49
"271","Rhode I.","RHO","75","7",286
"272","Rodrigues","ROD","29","2",NA
"273","Romania","ROM","13","1",245.694339622642
"274","Central European Russia","RUC","14","1",256.264830508475
"275","East European Russia","RUE","14","1",244.961728395062
"276","North European Russia","RUN","14","1",176.605405405405
"277","South European Russia","RUS","14","1",225.067901234568
"278","Northwest European Russia","RUW","14","1",245.553488372093
"279","Rwanda","RWA","23","2",770.5
"280","Sakhalin","SAK","31","3",212.972222222222
"281","Samoa","SAM","60","6",92.5
"282","Sardegna","SAR","12","1",180.681818181818
"283","Saskatchewan","SAS","71","7",194.837725381415
"284","Saudi Arabia","SAU","35","3",89.2296364473079
"285","South Carolina","SCA","78","7",298.877777777778
"286","Society Is.","SCI","61","6",64
"287","South China Sea","SCS","41","4",NA
"288","Santa Cruz Is.","SCZ","60","6",NA
"289","South Dakota","SDA","74","7",210.433333333333
"290","Selvagens","SEL","21","2",NA
"291","Senegal","SEN","22","2",461.341013824885
"292","Seychelles","SEY","29","2",NA
"293","South Georgia","SGE","90","9",49
"294","Sicilia","SIC","13","1",190.12
"295","Sierra Leone","SIE","22","2",610.1875
"296","Sinai","SIN","34","3",145.098360655738
"297","South Australia","SOA","50","5",254.070902394107
"298","Socotra","SOC","24","2",106.666666666667
"299","Solomon Is.","SOL","43","4",226
"300","Somalia","SOM","24","2",283.817663817664
"301","Spain","SPA","12","1",238.661141804788
"302","Sri Lanka","SRL","40","4",431.371428571429
"303","South Sandwich Is.","SSA","90","9",NA
"304","St.Helena","STH","28","2",NA
"305","Sudan","SUD","24","2",283.793152639087
"306","Sulawesi","SUL","42","4",390.170454545455
"307","Sumatera","SUM","42","4",663.690763052209
"308","Surinam","SUR","82","8",902.789808917197
"309","Svalbard","SVA","10","1",19.88
"310","Southwest Caribbean","SWC","81","8",NA
"311","Sweden","SWE","10","1",168.993762993763
"312","Switzerland","SWI","11","1",235.745098039216
"313","Swaziland","SWZ","27","2",641.631578947368
"314","Taiwan","TAI","38","3",409.72972972973
"315","Tanzania","TAN","25","2",622.083094555874
"316","Tasmania","TAS","50","5",209.44776119403
"317","Turks-Caicos Is.","TCI","81","8",NA
"318","Transcaucasus","TCS","33","3",293.901960784314
"319","Tristan da Cunha","TDC","90","9",NA
"320","Tennessee","TEN","78","7",267.550847457627
"321","Texas","TEX","77","7",302.137748344371
"322","Thailand","THA","41","4",597.040925266904
"323","Turkmenistan","TKM","32","3",202.525
"324","Togo","TOG","22","2",589.95
"325","Tokelau-Manihiki","TOK","60","6",NA
"326","Tonga","TON","60","6",NA
"327","Trinidad-Tobago","TRT","81","8",498.25
"328","Tuamotu","TUA","61","6",NA
"329","Tubuai Is.","TUB","61","6",NA
"330","Turkey-in-Europe","TUE","13","1",254.538461538462
"331","Tunisia","TUN","20","2",183.971264367816
"332","Turkey","TUR","34","3",230.384431137725
"333","Tuvalu","TUV","60","6",NA
"334","Tuva","TVA","30","3",311.671957671958
"335","Northern Provinces","TVL","27","2",565.540322580645
"336","Tadzhikistan","TZK","32","3",233.905063291139
"337","Uganda","UGA","25","2",713.501901140684
"338","Ukraine","UKR","14","1",256.608695652174
"339","Uruguay","URU","85","8",387.284974093264
"340","Utah","UTA","76","7",266.552419354839
"341","Uzbekistan","UZB","32","3",204.904761904762
"342","Vanuatu","VAN","60","6",132.5
"343","Venezuela","VEN","82","8",747.619662363456
"344","Vermont","VER","75","7",236.814814814815
"345","Victoria","VIC","50","5",342.870967741935
"346","Vietnam","VIE","41","4",671.430167597765
"347","Venezuelan Antilles","VNA","81","8",NA
"348","Virginia","VRG","78","7",271.883495145631
"349","Wake I.","WAK","62","6",NA
"350","Wallis-Futuna Is.","WAL","60","6",NA
"351","Washington","WAS","73","7",258.492227979275
"352","Western Australia","WAU","50","5",254.085121602289
"353","District of Columbia","WDC","78","7",302.5
"354","West Himalaya","WHM","40","4",314.67987804878
"355","Windward Is.","WIN","81","8",NA
"356","Wisconsin","WIS","74","7",250.116129032258
"357","Western Sahara","WSA","20","2",85.2673611111111
"358","West Siberia","WSB","30","3",187.739348370927
"359","West Virginia","WVA","75","7",255.571428571429
"360","Wyoming","WYO","73","7",244.333333333333
"361","Christmas I.","XMS","42","4",NA
"362","Yakutskiya","YAK","30","3",136.260688836105
"363","Yemen","YEM","35","3",130.17316017316
"364","Yugoslavia","YUG","13","1",262.642857142857
"365","Yukon","YUK","70","7",152.562152133581
"366","Zaïre","ZAI","23","2",573.439953810624
"367","Zambia","ZAM","26","2",666.809296781883
"368","Zimbabwe","ZIM","26","2",657.230946882217
