,accepted_family,Genus,accepted_species,accepted_species_w_author
1219,Apocynaceae,Apocynum,Apocynum cannabinum,Apocynum cannabinum L.
1251,Apocynaceae,Apocynum,Apocynum pictum,Apocynum pictum Schrenk
1255,Apocynaceae,Apocynum,Apocynum venetum,Apocynum venetum L.
1289,Apocynaceae,Araujia,Araujia sericifera,Araujia sericifera Brot.
1325,Apocynaceae,Asclepias,Asclepias albicans,Asclepias albicans S.Watson
1329,Apocynaceae,Asclepias,Asclepias asperula,Asclepias asperula (Decne.) Woodson
1335,Apocynaceae,Asclepias,Asclepias cordifolia,Asclepias cordifolia (Benth.) Jeps.
1340,Apocynaceae,Asclepias,Asclepias curassavica,Asclepias curassavica L.
1442,Apocynaceae,Asclepias,Asclepias eastwoodiana,Asclepias eastwoodiana Barneby
1443,Apocynaceae,Asclepias,Asclepias eriocarpa,Asclepias eriocarpa Benth.
1450,Apocynaceae,Asclepias,Asclepias glaucescens,Asclepias glaucescens Kunth
1454,Apocynaceae,Asclepias,Asclepias humistrata,Asclepias humistrata Walter
1455,Apocynaceae,Asclepias,Asclepias incarnata,Asclepias incarnata L.
1514,Apocynaceae,Asclepias,Asclepias labriformis,Asclepias labriformis M.E.Jones
1521,Apocynaceae,Asclepias,Asclepias latifolia,Asclepias latifolia (Torr.) Raf.
1524,Apocynaceae,Asclepias,Asclepias linaria,Asclepias linaria Cav.
1531,Apocynaceae,Asclepias,Asclepias mellodora,Asclepias mellodora A.St.-Hil.
1532,Apocynaceae,Asclepias,Asclepias ruthiae,Asclepias ruthiae Maguire
1533,Apocynaceae,Asclepias,Asclepias speciosa,Asclepias speciosa Torr.
1550,Apocynaceae,Asclepias,Asclepias subulata,Asclepias subulata Decne.
1562,Apocynaceae,Asclepias,Asclepias syriaca,Asclepias syriaca L.
1608,Apocynaceae,Asclepias,Asclepias tuberosa,Asclepias tuberosa L.
1659,Apocynaceae,Asclepias,Asclepias vestita,Asclepias vestita Hook. & Arn.
1681,Apocynaceae,Asclepias,Asclepias viridis,Asclepias viridis Walter
1687,Rubiaceae,Asperula,Asperula oppositifolia,Asperula oppositifolia Regel & Schmalh.
1689,Apocynaceae,Aspidosperma,Aspidosperma album,Aspidosperma album (Vahl) Benoist ex Pichon
1690,Apocynaceae,Aspidosperma,Aspidosperma auriculatum,Aspidosperma auriculatum Markgr.
1692,Apocynaceae,Aspidosperma,Aspidosperma australe,Aspidosperma australe Müll.Arg.
1693,Apocynaceae,Aspidosperma,Aspidosperma carapanauba,Aspidosperma carapanauba Pichon
1694,Apocynaceae,Aspidosperma,Aspidosperma cuspa,Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier
1695,Apocynaceae,Aspidosperma,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon Müll.Arg.
1698,Apocynaceae,Aspidosperma,Aspidosperma desmanthum,Aspidosperma desmanthum Benth. ex Müll.Arg.
1702,Apocynaceae,Aspidosperma,Aspidosperma discolor,Aspidosperma discolor A.DC.
1713,Apocynaceae,Aspidosperma,Aspidosperma duckei,Aspidosperma duckei Huber
1714,Apocynaceae,Aspidosperma,Aspidosperma eburneum,Aspidosperma eburneum Allemão ex Saldanha
1723,Apocynaceae,Aspidosperma,Aspidosperma excelsum,Aspidosperma excelsum Benth.
1753,Apocynaceae,Aspidosperma,Aspidosperma formosanum,Aspidosperma formosanum Duarte
1758,Apocynaceae,Aspidosperma,Aspidosperma limae,Aspidosperma limae Woodson
1760,Apocynaceae,Aspidosperma,Aspidosperma macrocarpon,Aspidosperma macrocarpon Mart.
1763,Apocynaceae,Aspidosperma,Aspidosperma marcgravianum,Aspidosperma marcgravianum Woodson
1793,Apocynaceae,Aspidosperma,Aspidosperma megalocarpon,Aspidosperma megalocarpon Müll.Arg.
1797,Apocynaceae,Aspidosperma,Aspidosperma multiflorum,Aspidosperma multiflorum A.DC.
1802,Apocynaceae,Aspidosperma,Aspidosperma nigricans,Aspidosperma nigricans Handro
1805,Apocynaceae,Aspidosperma,Aspidosperma oblongum,Aspidosperma oblongum A.DC.
1813,Apocynaceae,Aspidosperma,Aspidosperma obscurinervium,Aspidosperma obscurinervium Azambuja
1815,Apocynaceae,Aspidosperma,Aspidosperma olivaceum,Aspidosperma olivaceum Müll.Arg.
1821,Apocynaceae,Aspidosperma,Aspidosperma pachypterum,Aspidosperma pachypterum Müll.Arg.
1826,Apocynaceae,Aspidosperma,Aspidosperma parvifolium,Aspidosperma parvifolium A.DC.
1827,Apocynaceae,Aspidosperma,Aspidosperma polyneuron,Aspidosperma polyneuron Müll.Arg.
1832,Apocynaceae,Aspidosperma,Aspidosperma pyricollum,Aspidosperma pyricollum Müll.Arg.
1838,Apocynaceae,Aspidosperma,Aspidosperma pyrifolium,Aspidosperma pyrifolium Mart.
1856,Apocynaceae,Aspidosperma,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco Schltdl.
1874,Apocynaceae,Aspidosperma,Aspidosperma ramiflorum,Aspidosperma ramiflorum Müll.Arg.
1878,Apocynaceae,Aspidosperma,Aspidosperma spruceanum,Aspidosperma spruceanum Benth. ex Müll.Arg.
1881,Apocynaceae,Aspidosperma,Aspidosperma subincanum,Aspidosperma subincanum Mart.
1894,Apocynaceae,Aspidosperma,Aspidosperma tomentosum,Aspidosperma tomentosum Mart.
1907,Apocynaceae,Aspidosperma,Aspidosperma ulei,Aspidosperma ulei Markgr.
1910,Apocynaceae,Baroniella,Baroniella acuminata,Baroniella acuminata (Choux) Bullock
1915,Apocynaceae,Beaumontia,Beaumontia brevituba,Beaumontia brevituba Oliv.
1922,Apocynaceae,Beaumontia,Beaumontia grandiflora,Beaumontia grandiflora Wall.
1931,Apocynaceae,Beaumontia,Beaumontia murtonii,Beaumontia murtonii Craib
1938,Gentianaceae,Blackstonia,Blackstonia perfoliata,Blackstonia perfoliata (L.) Huds.
1948,Apocynaceae,Boucerosia,Boucerosia umbellata,Boucerosia umbellata (Haw.) Wight & Arn.
1955,Apocynaceae,Bousigonia,Bousigonia angustifolia,Bousigonia angustifolia Pierre ex Spire
1957,Apocynaceae,Bousigonia,Bousigonia mekongensis,Bousigonia mekongensis Pierre
1958,Rubiaceae,Bouvardia,Bouvardia ternifolia,Bouvardia ternifolia (Cav.) Schltdl.
1959,Rubiaceae,Breonadia,Breonadia salicina,Breonadia salicina (Vahl) Hepper & J.R.I.Wood
1961,Rubiaceae,Breonia,Breonia chinensis,Breonia chinensis (Lam.) Capuron
1973,Apocynaceae,Callichilia,Callichilia barteri,Callichilia barteri (Hook.f.) Stapf
1989,Apocynaceae,Callichilia,Callichilia inaequalis,Callichilia inaequalis Stapf
1994,Apocynaceae,Callichilia,Callichilia subsessilis,Callichilia subsessilis (Benth.) Stapf
1996,Apocynaceae,Calotropis,Calotropis gigantea,Calotropis gigantea (L.) W.T.Aiton
2016,Apocynaceae,Calotropis,Calotropis procera,Calotropis procera (Aiton) W.T.Aiton
2067,Rubiaceae,Calycophyllum,Calycophyllum spruceanum,Calycophyllum spruceanum (Benth.) Hook.f. ex K.Schum.
2082,Gentianaceae,Canscora,Canscora alata,Canscora alata (Roth) Wall.
2109,Gentianaceae,Canscora,Canscora diffusa,Canscora diffusa (Vahl) R.Br. ex Roem. & Schult.
2110,Rubiaceae,Canthium,Canthium berberidifolium,Canthium berberidifolium E.T.Geddes
2119,Apocynaceae,Caralluma,Caralluma plicatiloba,Caralluma plicatiloba Lavranos
2127,Apocynaceae,Caralluma,Caralluma stalagmifera,Caralluma stalagmifera C.E.C.Fisch.
2132,Rubiaceae,Carapichea,Carapichea affinis,Carapichea affinis (Standl.) L.Andersson
2141,Rubiaceae,Carapichea,Carapichea ipecacuanha,Carapichea ipecacuanha (Brot.) L.Andersson
2217,Rubiaceae,Carapichea,Carapichea klugii,Carapichea klugii (Standl.) C.M.Taylor
2227,Apocynaceae,Carissa,Carissa carandas,Carissa carandas L.
2235,Apocynaceae,Carissa,Carissa macrocarpa,Carissa macrocarpa (Eckl.) A.DC.
2236,Apocynaceae,Carissa,Carissa spinarum,Carissa spinarum L.
2283,Apocynaceae,Cascabela,Cascabela thevetia,Cascabela thevetia (L.) Lippold
2360,Apocynaceae,Cascabela,Cascabela thevetioides,Cascabela thevetioides (Kunth) Lippold
2362,Apocynaceae,Catharanthus,Catharanthus lanceus,Catharanthus lanceus (Bojer ex A.DC.) Pichon
2374,Apocynaceae,Catharanthus,Catharanthus longifolius,Catharanthus longifolius (Pichon) Pichon
2381,Apocynaceae,Catharanthus,Catharanthus ovalis,Catharanthus ovalis Markgr.
2403,Apocynaceae,Catharanthus,Catharanthus pusillus,Catharanthus pusillus (Murray) G.Don
2413,Apocynaceae,Catharanthus,Catharanthus roseus,Catharanthus roseus (L.) G.Don
2760,Apocynaceae,Catharanthus,Catharanthus trichophyllus,Catharanthus trichophyllus (Baker) Pichon
2789,Rubiaceae,Catunaregam,Catunaregam nilotica,Catunaregam nilotica (Stapf) Tirveng.
2796,Rubiaceae,Catunaregam,Catunaregam obovata,Catunaregam obovata (Hochst.) A.E.Gonç.
2802,Rubiaceae,Catunaregam,Catunaregam spinosa,Catunaregam spinosa (Thunb.) Tirveng.
2837,Gentianaceae,Centaurium,Centaurium cachanlahuen,Centaurium cachanlahuen (Molina) B.L.Rob.
2839,Gentianaceae,Centaurium,Centaurium erythraea,Centaurium erythraea Rafn
2882,Gentianaceae,Centaurium,Centaurium littorale,Centaurium littorale (Turner) Gilmour
2886,Gentianaceae,Centaurium,Centaurium pulchellum,"Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis"
2896,Gentianaceae,Centaurium,Centaurium quadrifolium,Centaurium quadrifolium (L.) G.López & C.E.Jarvis
2901,Rubiaceae,Cephalanthus,Cephalanthus glabratus,Cephalanthus glabratus (Spreng.) K.Schum.
2903,Rubiaceae,Cephalanthus,Cephalanthus natalensis,Cephalanthus natalensis Oliv.
2908,Rubiaceae,Cephalanthus,Cephalanthus occidentalis,Cephalanthus occidentalis L.
2933,Rubiaceae,Cephalanthus,Cephalanthus salicifolius,Cephalanthus salicifolius Bonpl.
2934,Rubiaceae,Cephalanthus,Cephalanthus tetrandrus,Cephalanthus tetrandrus (Roxb.) Ridsdale & Bakh.f.
2935,Apocynaceae,Cerbera,Cerbera floribunda,Cerbera floribunda K.Schum.
2938,Apocynaceae,Cerbera,Cerbera inflata,Cerbera inflata S.T.Blake
2941,Apocynaceae,Cerbera,Cerbera manghas,Cerbera manghas L.
3002,Apocynaceae,Cerbera,Cerbera odollam,Cerbera odollam Gaertn.
3027,Apocynaceae,Ceropegia,Ceropegia juncea,Ceropegia juncea Roxb.
3028,Apocynaceae,Ceropegia,Ceropegia variegata,Ceropegia variegata Decne.
3052,Rubiaceae,Chassalia,Chassalia parvifolia,Chassalia parvifolia K.Schum.
3055,Rubiaceae,Chassalia,Chassalia subcoriacea,Chassalia subcoriacea (Ridl.) A.P.Davis
3056,Rubiaceae,Chimarrhis,Chimarrhis cymosa,Chimarrhis cymosa Jacq.
3057,Rubiaceae,Chimarrhis,Chimarrhis turbinata,Chimarrhis turbinata DC.
3087,Rubiaceae,Chiococca,Chiococca alba,Chiococca alba (L.) Hitchc.
3110,Rubiaceae,Chione,Chione venosa,Chione venosa (Sw.) Urb.
3120,Gentianaceae,Chironia,Chironia baccifera,Chironia baccifera L.
3124,Gentianaceae,Chironia,Chironia krebsii,Chironia krebsii Griseb.
3145,Gentianaceae,Chironia,Chironia palustris,Chironia palustris Burch.
3150,Gentianaceae,Chironia,Chironia purpurascens,Chironia purpurascens (E.Mey.) Benth. & Hook.f.
3155,Apocynaceae,Chonemorpha,Chonemorpha fragrans,Chonemorpha fragrans (Moon) Alston
3159,Rubiaceae,Ciliosemina,Ciliosemina pedunculata,Ciliosemina pedunculata (H.Karst.) Antonelli
3173,Rubiaceae,Ciliosemina,Ciliosemina purdieana,Ciliosemina purdieana (Wedd.) Antonelli
3176,Rubiaceae,Cinchona,Cinchona calisaya,Cinchona calisaya Wedd.
3240,Rubiaceae,Cinchona,Cinchona officinalis,Cinchona officinalis L.
3246,Rubiaceae,Cinchona,Cinchona pubescens,Cinchona pubescens Vahl
3291,Rubiaceae,Coelospermum,Coelospermum balansanum,Coelospermum balansanum Baill.
3296,Rubiaceae,Coelospermum,Coelospermum decipiens,Coelospermum decipiens Baill.
3297,Rubiaceae,Coelospermum,Coelospermum paniculatum,Coelospermum paniculatum F.Muell.
3301,Rubiaceae,Coelospermum,Coelospermum reticulatum,Coelospermum reticulatum (F.Muell.) Benth.
3302,Rubiaceae,Coffea,Coffea arabica,Coffea arabica L.
3560,Rubiaceae,Coffea,Coffea benghalensis,Coffea benghalensis B.Heyne ex Roth
3562,Rubiaceae,Coffea,Coffea brevipes,Coffea brevipes Hiern
3563,Rubiaceae,Coffea,Coffea canephora,Coffea canephora Pierre ex A.Froehner
3666,Rubiaceae,Coffea,Coffea charrieriana,Coffea charrieriana Stoff. & F.Anthony
3674,Rubiaceae,Coffea,Coffea congensis,Coffea congensis A.Froehner
3684,Rubiaceae,Coffea,Coffea eugenioides,Coffea eugenioides S.Moore
3703,Rubiaceae,Coffea,Coffea homollei,Coffea homollei J.-F.Leroy
3705,Rubiaceae,Coffea,Coffea humblotiana,Coffea humblotiana Baill.
3713,Rubiaceae,Coffea,Coffea humilis,Coffea humilis A.Chev.
3721,Rubiaceae,Coffea,Coffea kapakata,Coffea kapakata (A.Chev.) Bridson
3729,Rubiaceae,Coffea,Coffea kianjavatensis,Coffea kianjavatensis J.-F.Leroy
3740,Rubiaceae,Coffea,Coffea lancifolia,Coffea lancifolia A.Chev.
3742,Rubiaceae,Coffea,Coffea liberica,Coffea liberica W.Bull
3767,Rubiaceae,Coffea,Coffea pseudozanguebariae,Coffea pseudozanguebariae Bridson
3778,Rubiaceae,Coffea,Coffea racemosa,Coffea racemosa Lour.
3800,Rubiaceae,Coffea,Coffea salvatrix,Coffea salvatrix Swynn. & Philipson
3822,Rubiaceae,Coffea,Coffea sessiliflora,Coffea sessiliflora Bridson
3832,Rubiaceae,Coffea,Coffea stenophylla,Coffea stenophylla G.Don
3845,Rubiaceae,Coffea,Coffea travancorensis,Coffea travancorensis Wight & Arn.
3846,Rubiaceae,Coffea,Coffea vianneyi,Coffea vianneyi J.-F.Leroy
3847,Rubiaceae,Coffea,Coffea × heterocalyx,Coffea × heterocalyx Stoff.
3852,Gentianaceae,Comastoma,Comastoma tenellum,Comastoma tenellum (Rottb.) Toyok.
3854,Rubiaceae,Coprosma,Coprosma acerosa,Coprosma acerosa A.Cunn.
3859,Rubiaceae,Coprosma,Coprosma arborea,Coprosma arborea Kirk
3860,Rubiaceae,Coprosma,Coprosma areolata,Coprosma areolata Cheeseman
3862,Rubiaceae,Coprosma,Coprosma linariifolia,Coprosma linariifolia (Hook.f.) Hook.f.
3864,Rubiaceae,Coprosma,Coprosma lucida,Coprosma lucida J.R.Forst. & G.Forst.
3873,Rubiaceae,Coprosma,Coprosma propinqua,Coprosma propinqua A.Cunn.
3876,Rubiaceae,Coprosma,Coprosma pyrifolia,Coprosma pyrifolia (Hook. & Arn.) Skottsb.
3877,Rubiaceae,Coprosma,Coprosma repens,Coprosma repens A.Rich.
3878,Rubiaceae,Coprosma,Coprosma robusta,Coprosma robusta Raoul
3882,Rubiaceae,Coprosma,Coprosma rotundifolia,Coprosma rotundifolia A.Cunn.
3885,Rubiaceae,Coprosma,Coprosma tenuicaulis,Coprosma tenuicaulis Hook.f.
3887,Rubiaceae,Coprosma,Coprosma tenuifolia,Coprosma tenuifolia Cheeseman
3888,Rubiaceae,Cordiera,Cordiera macrophylla,Cordiera macrophylla (K.Schum.) Kuntze
3916,Rubiaceae,Cordiera,Cordiera sessilis,Cordiera sessilis (Vell.) Kuntze
3935,Rubiaceae,Corynanthe,Corynanthe johimbe,Corynanthe johimbe K.Schum.
3940,Rubiaceae,Corynanthe,Corynanthe macroceras,Corynanthe macroceras K.Schum.
3943,Rubiaceae,Corynanthe,Corynanthe pachyceras,Corynanthe pachyceras K.Schum.
3950,Rubiaceae,Corynanthe,Corynanthe paniculata,Corynanthe paniculata Welw.
3951,Rubiaceae,Coussarea,Coussarea brevicaulis,Coussarea brevicaulis K.Krause
3962,Rubiaceae,Coussarea,Coussarea hydrangeifolia,Coussarea hydrangeifolia (Benth.) Benth. & Hook.f. ex Müll.Arg.
3967,Rubiaceae,Coussarea,Coussarea macrophylla,Coussarea macrophylla (Mart.) Müll.Arg.
3977,Rubiaceae,Coussarea,Coussarea paniculata,Coussarea paniculata (Willd.) Standl.
3992,Rubiaceae,Coutarea,Coutarea hexandra,Coutarea hexandra (Jacq.) K.Schum.
4008,Gentianaceae,Coutoubea,Coutoubea spicata,Coutoubea spicata Aubl.
4013,Apocynaceae,Craspidospermum,Craspidospermum verticillatum,Craspidospermum verticillatum Bojer ex Decne.
4015,Apocynaceae,Crioceras,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus (Stapf) K.Schum.
4028,Rubiaceae,Crossopteryx,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex G.Don) Benth.
4041,Rubiaceae,Crucianella,Crucianella graeca,Crucianella graeca Boiss.
4048,Rubiaceae,Crucianella,Crucianella maritima,Crucianella maritima L.
4051,Rubiaceae,Cruciata,Cruciata glabra,Cruciata glabra (L.) Opiz
4055,Rubiaceae,Cruciata,Cruciata laevipes,Cruciata laevipes Opiz
4064,Rubiaceae,Cruciata,Cruciata pedemontana,Cruciata pedemontana (Bellardi) Ehrend.
4070,Rubiaceae,Cruciata,Cruciata taurica,Cruciata taurica (Pall. ex Willd.) Ehrend.
4088,Rubiaceae,Cruckshanksia,Cruckshanksia pumila,Cruckshanksia pumila Clos
4090,Rubiaceae,Cruckshanksia,Cruckshanksia verticillata,Cruckshanksia verticillata Phil.
4092,Apocynaceae,Cryptolepis,Cryptolepis buchananii,Cryptolepis buchananii R.Br. ex Roem. & Schult.
4101,Apocynaceae,Cryptolepis,Cryptolepis nigrescens,Cryptolepis nigrescens (Wennberg) L.Joubert & Bruyns
4122,Apocynaceae,Cryptolepis,Cryptolepis obtusa,Cryptolepis obtusa N.E.Br.
4125,Apocynaceae,Cryptolepis,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta (Lindl.) Schltr.
4147,Apocynaceae,Cryptolepis,Cryptolepis sinensis,Cryptolepis sinensis (Lour.) Merr.
4148,Apocynaceae,Cryptostegia,Cryptostegia grandiflora,Cryptostegia grandiflora Roxb. ex R.Br.
4175,Apocynaceae,Cryptostegia,Cryptostegia madagascariensis,Cryptostegia madagascariensis Bojer ex Decne.
4178,Gentianaceae,Curtia,Curtia tenuifolia,Curtia tenuifolia (Aubl.) Knobl.
4184,Apocynaceae,Cynanchum,Cynanchum acutum,Cynanchum acutum L.
4188,Apocynaceae,Cynanchum,Cynanchum boudieri,Cynanchum boudieri H.Lév. & Vaniot
4222,Apocynaceae,Cynanchum,Cynanchum bungei,Cynanchum bungei Decne.
4235,Apocynaceae,Cynanchum,Cynanchum gracillimum,Cynanchum gracillimum Wall. ex Wight
4238,Apocynaceae,Cynanchum,Cynanchum grandidieri,Cynanchum grandidieri Liede & Meve
4239,Apocynaceae,Cynanchum,Cynanchum liukiuense,Cynanchum liukiuense Warb.
4240,Apocynaceae,Cynanchum,Cynanchum maximoviczii,Cynanchum maximoviczii Pobed.
4276,Apocynaceae,Cynanchum,Cynanchum ovalifolium,Cynanchum ovalifolium Wight
4280,Apocynaceae,Cynanchum,Cynanchum polyanthum,Cynanchum polyanthum K.Schum.
4286,Apocynaceae,Cynanchum,Cynanchum rostellatum,Cynanchum rostellatum (Turcz.) Liede & Khanum
4305,Apocynaceae,Cynanchum,Cynanchum thesioides,Cynanchum thesioides (Freyn) K.Schum.
4312,Apocynaceae,Cynanchum,Cynanchum viminale,Cynanchum viminale (L.) L.
4332,Apocynaceae,Cynanchum,Cynanchum wilfordii,Cynanchum wilfordii (Maxim.) Hook.f.
4354,Gentianaceae,Cyrtophyllum,Cyrtophyllum fragrans,Cyrtophyllum fragrans (Roxb.) DC.
4360,Rubiaceae,Damnacanthus,Damnacanthus indicus,Damnacanthus indicus C.F.Gaertn.
4372,Rubiaceae,Damnacanthus,Damnacanthus macrophyllus,Damnacanthus macrophyllus Siebold ex Miq.
4373,Rubiaceae,Damnacanthus,Damnacanthus major,Damnacanthus major Siebold & Zucc.
4383,Rubiaceae,Damnacanthus,Damnacanthus officinarum,Damnacanthus officinarum C.C.Huang
4384,Rubiaceae,Debia,Debia ovatifolia,Debia ovatifolia (Cav.) Neupane & N.Wikstr.
4388,Apocynaceae,Decalepis,Decalepis hamiltonii,Decalepis hamiltonii Wight & Arn.
4396,Apocynaceae,Desmidorchis,Desmidorchis flava,Desmidorchis flava (N.E.Br.) Meve & Liede
4398,Apocynaceae,Desmidorchis,Desmidorchis penicillata,Desmidorchis penicillata (Deflers) Plowes
4404,Apocynaceae,Desmidorchis,Desmidorchis retrospiciens,Desmidorchis retrospiciens Ehrenb.
4427,Rubiaceae,Dimetia,Dimetia capitellata,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.
4442,Rubiaceae,Dimetia,Dimetia hedyotidea,Dimetia hedyotidea (DC.) T.C.Hsu
4452,Rubiaceae,Dimetia,Dimetia scandens,Dimetia scandens (Roxb.) R.J.Wang
