,accepted_species,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,Genus
10,Saprosma fragrans,766026-1,Saprosma fragrans,Saprosma fragrans (Bedd.) Bedd.,Rubiaceae,Species,Saprosma,Saprosma Blume,184578,35295-1,Genus,184600,766026-1,Species,Accepted,Rubiaceae,,Saprosma,,fragrans,,,Bedd.,Bedd.,,Fl. Sylv. S. India,: cxxxiv-11,(1874),,Assam,shrub,wet tropical,Saprosma fragrans,(Bedd.) Bedd.,184600,190828,,,184578,766026-1,,Y,Saprosma fragrans (Bedd.) Bedd.,766026-1,184600,Saprosma
11,Solenandra mexicana,20010093-1,Solenandra mexicana,Solenandra mexicana (A.Gray) Borhidi,Rubiaceae,Species,Solenandra,Solenandra Hook.f.,192825,35363-1,Genus,216789,20010093-1,Species,Accepted,Rubiaceae,,Solenandra,,mexicana,,,A.Gray,Borhidi,,Acta Bot. Hung., 44: 227,(2002),,Mexico to C. America,tree,wet tropical,Solenandra mexicana,(A.Gray) Borhidi,216789,83564,,,192825,20010093-1,,Y,Solenandra mexicana (A.Gray) Borhidi,20010093-1,216789,Solenandra
12,Nauclea diderrichii,757089-1,Nauclea diderrichii,Nauclea diderrichii (De Wild.) Merr.,Rubiaceae,Species,Nauclea,Nauclea L.,133119,327870-2,Genus,133162,757089-1,Species,Accepted,Rubiaceae,,Nauclea,,diderrichii,,,De Wild.,Merr.,,J. Washington Acad. Sci., 5: 535,(1915),,W. Trop. Africa to Uganda,tree,wet tropical,Nauclea diderrichii,(De Wild.) Merr.,133162,184870,,,133119,757089-1,,Y,Nauclea diderrichii (De Wild.) Merr.,757089-1,133162,Nauclea
13,Palicourea padifolia,281971-2,Palicourea padifolia,Palicourea padifolia (Willd. ex Schult.) C.M.Taylor & Lorence,Rubiaceae,Species,Palicourea,Palicourea Aubl.,145874,30000890-2,Genus,146209,281971-2,Species,Accepted,Rubiaceae,,Palicourea,,padifolia,,,Willd. ex Schult.,C.M.Taylor & Lorence,,Taxon, 34: 669,(1985),,Mexico to NW. Colombia,shrub or tree,wet tropical,Palicourea padifolia,(Willd. ex Schult.) C.M.Taylor & Lorence,146209,169112,,,145874,281971-2,,Y,Palicourea padifolia (Willd. ex Schult.) C.M.Taylor & Lorence,281971-2,146209,Palicourea
14,Asclepias cordifolia,21169-2,Asclepias cordifolia,Asclepias cordifolia (Benth.) Jeps.,Apocynaceae,Species,Asclepias,Asclepias L.,500668,30005968-2,Genus,500825,21169-2,Species,Accepted,Apocynaceae,,Asclepias,,cordifolia,,,Benth.,Jeps.,,Fl. W. Calif.,: 384,(1901),,Oregon to SW. U.S.A.,perennial,temperate,Asclepias cordifolia,(Benth.) Jeps.,500825,500511,,,500668,21169-2,,Y,Asclepias cordifolia (Benth.) Jeps.,21169-2,500825,Asclepias
15,Dolichopentas longiflora,77086225-1,Dolichopentas longiflora,Dolichopentas longiflora (Oliv.) Kårehed & B.Bremer,Rubiaceae,Species,Dolichopentas,Dolichopentas Kårehed & B.Bremer,372585,77086219-1,Genus,372612,77086225-1,Species,Accepted,Rubiaceae,,Dolichopentas,,longiflora,,,Oliv.,Kårehed & B.Bremer,,Taxon, 56: 1076,(2007),,EC. & E. Trop. Africa to Malawi,shrub,seasonally dry tropical,Dolichopentas longiflora,(Oliv.) Kårehed & B.Bremer,372612,149993,,,372585,77086225-1,,Y,Dolichopentas longiflora (Oliv.) Kårehed & B.Bremer,77086225-1,372612,Dolichopentas
16,Swertia swertopsis,371104-1,Swertia swertopsis,Swertia swertopsis Makino,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2590057,371104-1,Species,Accepted,Gentianaceae,,Swertia,,swertopsis,,,,Makino,,Bot. Mag. (Tokyo), 15: 47,(1901),,SC. & S. Japan,annual or biennial,temperate,Swertia swertopsis,Makino,2590057,2588908,Makino,,2590364,371104-1,,N,Swertia swertopsis Makino,371104-1,2590057,Swertia
17,Bathysa australis,744363-1,Bathysa australis,Bathysa australis (A.St.-Hil.) K.Schum.,Rubiaceae,Species,Bathysa,Bathysa C.Presl,20097,34203-1,Genus,20098,744363-1,Species,Accepted,Rubiaceae,,Bathysa,,australis,,,A.St.-Hil.,K.Schum.,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 6(6): 239,(1889),,Bolivia to Brazil,shrub or tree,seasonally dry tropical,Bathysa australis,(A.St.-Hil.) K.Schum.,20098,83526,,,20097,744363-1,,Y,Bathysa australis (A.St.-Hil.) K.Schum.,744363-1,20098,Bathysa
18,Neolamarckia cadamba,914296-1,Neolamarckia cadamba,Neolamarckia cadamba (Roxb.) Bosser,Rubiaceae,Species,Neolamarckia,Neolamarckia Bosser,133818,893396-1,Genus,133819,914296-1,Species,Accepted,Rubiaceae,,Neolamarckia,,cadamba,,,Roxb.,Bosser,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia", 6: 247,(1984),,S. China to Trop. Asia,tree,wet tropical,Neolamarckia cadamba,(Roxb.) Bosser,133819,133140,,,133818,914296-1,,Y,Neolamarckia cadamba (Roxb.) Bosser,914296-1,133819,Neolamarckia
19,Tabernaemontana polyneura,77074605-1,Tabernaemontana polyneura,Tabernaemontana polyneura (King & Gamble) D.J.Middleton,Apocynaceae,Species,Tabernaemontana,Tabernaemontana Plum. ex L.,200545,328993-2,Genus,344891,77074605-1,Species,Accepted,Apocynaceae,,Tabernaemontana,,polyneura,,,King & Gamble,D.J.Middleton,,Taxon, 55: 503,(2006),,Pen. Malaysia,tree,wet tropical,Tabernaemontana polyneura,(King & Gamble) D.J.Middleton,344891,71956,,,200545,77074605-1,,Y,Tabernaemontana polyneura (King & Gamble) D.J.Middleton,77074605-1,344891,Tabernaemontana
20,Tabernaemontana glabra,77157914-1,Tabernaemontana glabra,Tabernaemontana glabra (Benth.) A.O.Simões & M.E.Endress,Apocynaceae,Species,Tabernaemontana,Tabernaemontana Plum. ex L.,200545,328993-2,Genus,464293,77157914-1,Species,Accepted,Apocynaceae,,Tabernaemontana,,glabra,,,Benth.,A.O.Simões & M.E.Endress,,J. Bot. Res. Inst. Texas, 10: 31,(2016),,Mexico to W. South America,shrub or tree,wet tropical,Tabernaemontana glabra,(Benth.) A.O.Simões & M.E.Endress,464293,196992,,,200545,77157914-1,,Y,Tabernaemontana glabra (Benth.) A.O.Simões & M.E.Endress,77157914-1,464293,Tabernaemontana
21,Tabernaemontana divaricata,82097-1,Tabernaemontana divaricata,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,Apocynaceae,Species,Tabernaemontana,Tabernaemontana Plum. ex L.,200545,328993-2,Genus,200675,82097-1,Species,Accepted,Apocynaceae,,Tabernaemontana,,divaricata,,,L.,R.Br. ex Roem. & Schult.,,"Syst. Veg., ed. 15[bis].", 4: 427,(1819),,Himalaya to China (S. Yunnan) and Indo-China,shrub or tree,wet tropical,Tabernaemontana divaricata,(L.) R.Br. ex Roem. & Schult.,200675,135176,,,200545,82097-1,,Y,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,82097-1,200675,Tabernaemontana
22,Hymenodictyon floribundum,753550-1,Hymenodictyon floribundum,Hymenodictyon floribundum (Hochst. & Steud.) B.L.Rob.,Rubiaceae,Species,Hymenodictyon,Hymenodictyon Wall.,101219,327858-2,Genus,101229,753550-1,Species,Accepted,Rubiaceae,,Hymenodictyon,,floribundum,,,Hochst. & Steud.,B.L.Rob.,,Proc. Amer. Acad. Arts, 45: 404,(1910),,Trop. Africa to NW. Namibia,hemiepiphytic shrub or tree,wet tropical,Hymenodictyon floribundum,(Hochst. & Steud.) B.L.Rob.,101229,106607,,,101219,753550-1,,Y,Hymenodictyon floribundum (Hochst. & Steud.) B.L.Rob.,753550-1,101229,Hymenodictyon
23,Hunteria zeylanica,79369-1,Hunteria zeylanica,Hunteria zeylanica (Retz.) Gardner ex Thwaites,Apocynaceae,Species,Hunteria,Hunteria Roxb.,100788,2377-1,Genus,100820,79369-1,Species,Accepted,Apocynaceae,,Hunteria,,zeylanica,,,Retz.,Gardner ex Thwaites,,Enum. Pl. Zeyl.,: 191,(1860),,"Somalia to Mozambique, India to W. Malesia",tree,seasonally dry tropical,Hunteria zeylanica,(Retz.) Gardner ex Thwaites,100820,33089,,,100788,79369-1,,Y,Hunteria zeylanica (Retz.) Gardner ex Thwaites,79369-1,100820,Hunteria
24,Tripterospermum taiwanense,371308-1,Tripterospermum taiwanense,Tripterospermum taiwanense (Masam.) Satake,Gentianaceae,Species,Tripterospermum,Tripterospermum Blume,2442935,16752-1,Genus,2442615,371308-1,Species,Accepted,Gentianaceae,,Tripterospermum,,taiwanense,,,Masam.,Satake,,J. Jap. Bot., 26: 108,(1951),,C. & S. Taiwan,climbing perennial,temperate,Tripterospermum taiwanense,(Masam.) Satake,2442615,2742484,,,2442935,371308-1,,N,Tripterospermum taiwanense (Masam.) Satake,371308-1,2442615,Tripterospermum
25,Periploca calophylla,100435-1,Periploca calophylla,Periploca calophylla (Wight) Falc.,Apocynaceae,Species,Periploca,Periploca Tourn. ex L.,510216,3588-1,Genus,510234,100435-1,Species,Accepted,Apocynaceae,,Periploca,,calophylla,,,Wight,Falc.,,Proc. Linn. Soc. London, 1: 115,(1841),,Indian Subcontinent to S. China,climber,subtropical,Periploca calophylla,(Wight) Falc.,510234,512562,,,510216,100435-1,,Y,Periploca calophylla (Wight) Falc.,100435-1,510234,Periploca
26,Galianthe thalictroides,963762-1,Galianthe thalictroides,Galianthe thalictroides (K.Schum.) E.L.Cabral,Rubiaceae,Species,Galianthe,Galianthe Griseb.,85505,34622-1,Genus,85547,963762-1,Species,Accepted,Rubiaceae,,Galianthe,,thalictroides,,,K.Schum.,E.L.Cabral,,Bol. Soc. Argent. Bot., 27: 246,(1991 publ. 1992),,SE. & S. Brazil to NE. Argentina,subshrub or shrub,seasonally dry tropical,Galianthe thalictroides,(K.Schum.) E.L.Cabral,85547,23427,,,85505,963762-1,,Y,Galianthe thalictroides (K.Schum.) E.L.Cabral,963762-1,85547,Galianthe
27,Adina pilulifera,742927-1,Adina pilulifera,Adina pilulifera (Lam.) Franch. ex Drake,Rubiaceae,Species,Adina,Adina Salisb.,3234,34103-1,Genus,3268,742927-1,Species,Accepted,Rubiaceae,,Adina,,pilulifera,,,Lam.,Franch. ex Drake,,J. Bot. (Morot), 9: 207,(1895),,"Japan (S. Kyushu), S. China to Vietnam",shrub or tree,wet tropical,Adina pilulifera,(Lam.) Franch. ex Drake,3268,36734,,,3234,742927-1,,Y,Adina pilulifera (Lam.) Franch. ex Drake,742927-1,3268,Adina
28,Trachelospermum lucidum,82558-1,Trachelospermum lucidum,Trachelospermum lucidum (D.Don) K.Schum.,Apocynaceae,Species,Trachelospermum,Trachelospermum Lem.,207072,2604-1,Genus,207113,82558-1,Species,Accepted,Apocynaceae,,Trachelospermum,,lucidum,,,D.Don,K.Schum.,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 173,(1895),,Pakistan to Taiwan,liana,subtropical,Trachelospermum lucidum,(D.Don) K.Schum.,207113,7062,,,207072,82558-1,,Y,Trachelospermum lucidum (D.Don) K.Schum.,82558-1,207113,Trachelospermum
29,Simira maxonii,236581-2,Simira maxonii,Simira maxonii (Standl.) Steyerm.,Rubiaceae,Species,Simira,Simira Aubl.,192299,30018402-2,Genus,192327,236581-2,Species,Accepted,Rubiaceae,,Simira,,maxonii,,,Standl.,Steyerm.,,Mem. New York Bot. Gard., 23: 306,(1972),,SE. Nicaragua to Colombia,tree,wet tropical,Simira maxonii,(Standl.) Steyerm.,192327,89125,,,192299,236581-2,,Y,Simira maxonii (Standl.) Steyerm.,236581-2,192327,Simira
30,Crossopteryx febrifuga,747858-1,Crossopteryx febrifuga,Crossopteryx febrifuga (Afzel. ex G.Don) Benth.,Rubiaceae,Species,Crossopteryx,Crossopteryx Fenzl,49175,34430-1,Genus,49177,747858-1,Species,Accepted,Rubiaceae,,Crossopteryx,,febrifuga,,,Afzel. ex G.Don,Benth.,W.J.Hooker,Niger Fl.,: 381,(1849),,Trop. & S. Africa,shrub or tree,wet tropical,Crossopteryx febrifuga,(Afzel. ex G.Don) Benth.,49177,179533,,,49175,747858-1,,Y,Crossopteryx febrifuga (Afzel. ex G.Don) Benth.,747858-1,49177,Crossopteryx
31,Cryptolepis sinensis,95952-1,Cryptolepis sinensis,Cryptolepis sinensis (Lour.) Merr.,Apocynaceae,Species,Cryptolepis,Cryptolepis R.Br.,503190,3291-1,Genus,503256,95952-1,Species,Accepted,Apocynaceae,,Cryptolepis,,sinensis,,,Lour.,Merr.,,Philipp. J. Sci., 15: 254,(1919),,E. Himalaya to Philippines,climbing shrub,seasonally dry tropical,Cryptolepis sinensis,(Lour.) Merr.,503256,510196,,,503190,95952-1,,Y,Cryptolepis sinensis (Lour.) Merr.,95952-1,503256,Cryptolepis
32,Lasianthus gardneri,754968-1,Lasianthus gardneri,Lasianthus gardneri (Thwaites) Hook.f.,Rubiaceae,Species,Lasianthus,Lasianthus Jack,108426,331701-2,Genus,108559,754968-1,Species,Accepted,Rubiaceae,,Lasianthus,,gardneri,,,Thwaites,Hook.f.,,Fl. Brit. India, 3: 186,(1880),,Sri Lanka,shrub,wet tropical,Lasianthus gardneri,(Thwaites) Hook.f.,108559,125640,,,108426,754968-1,,Y,Lasianthus gardneri (Thwaites) Hook.f.,754968-1,108559,Lasianthus
33,Dimetia capitellata,77147276-1,Dimetia capitellata,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.,Rubiaceae,Species,Dimetia,Dimetia (Wight & Arn.) Meisn.,61882,34487-1,Genus,496591,77147276-1,Species,Accepted,Rubiaceae,,Dimetia,,capitellata,,,Wall. ex G.Don,Neupane & N.Wikstr.,,Taxon, 64: 315,(2015),,Assam to Philippines,scrambling shrub,wet tropical,Dimetia capitellata,(Wall. ex G.Don) Neupane & N.Wikstr.,496591,97055,,,61882,77147276-1,,Y,Dimetia capitellata (Wall. ex G.Don) Neupane & N.Wikstr.,77147276-1,496591,Dimetia
34,Exallage auricularia,748862-1,Exallage auricularia,Exallage auricularia (L.) Bremek.,Rubiaceae,Species,Exallage,Exallage Bremek.,83240,34589-1,Genus,83242,748862-1,Species,Accepted,Rubiaceae,,Exallage,,auricularia,,,L.,Bremek.,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2",", 48(2): 142",(1952),,Trop. & Subtrop. Asia to W. Pacific,scrambling subshrub,wet tropical,Exallage auricularia,(L.) Bremek.,83242,96979,,,83240,748862-1,,Y,Exallage auricularia (L.) Bremek.,748862-1,83242,Exallage
35,Gentianella florida,108682-2,Gentianella florida,Gentianella florida (Griseb.) Holub,Gentianaceae,Species,Gentianella,Gentianella Moench,2821875,331622-2,Genus,2822083,108682-2,Species,Accepted,Gentianaceae,,Gentianella,,florida,,,Griseb.,Holub,,Folia Geobot. Phytotax., 2: 117,(1967),,Bolivia to NW. Argentina,biennial,temperate,Gentianella florida,(Griseb.) Holub,2822083,2820510,,,2821875,108682-2,,N,Gentianella florida (Griseb.) Holub,108682-2,2822083,Gentianella
36,Kibatalia macrophylla,79460-1,Kibatalia macrophylla,Kibatalia macrophylla (Pierre ex Hua) Woodson,Apocynaceae,Species,Kibatalia,Kibatalia G.Don,105920,2390-1,Genus,105936,79460-1,Species,Accepted,Apocynaceae,,Kibatalia,,macrophylla,,,Pierre ex Hua,Woodson,,Philipp. J. Sci., 60: 214,(1936),,China (S. Yunnan) to Indo-China,tree,wet tropical,Kibatalia macrophylla,(Pierre ex Hua) Woodson,105936,147781,,,105920,79460-1,,Y,Kibatalia macrophylla (Pierre ex Hua) Woodson,79460-1,105936,Kibatalia
37,Vincetoxicum forrestii,946558-1,Vincetoxicum forrestii,Vincetoxicum forrestii (Schltr.) C.Y.Wu & D.Z.Li,Apocynaceae,Species,Vincetoxicum,Vincetoxicum Wolf,513384,30010004-2,Genus,513537,946558-1,Species,Accepted,Apocynaceae,,Vincetoxicum,,forrestii,,,Schltr.,C.Y.Wu & D.Z.Li,,Acta Bot. Yunnan., 11: 46,(1989),,Tibet to C. China,scrambling perennial or subshrub,subalpine or subarctic,Vincetoxicum forrestii,(Schltr.) C.Y.Wu & D.Z.Li,513537,503642,,,513384,946558-1,,Y,Vincetoxicum forrestii (Schltr.) C.Y.Wu & D.Z.Li,946558-1,513537,Vincetoxicum
38,Coffea kapakata,977414-1,Coffea kapakata,Coffea kapakata (A.Chev.) Bridson,Rubiaceae,Species,Coffea,Coffea L.,45380,325985-2,Genus,45579,977414-1,Species,Accepted,Rubiaceae,,Coffea,,kapakata,,,A.Chev.,Bridson,,Kew Bull., 49: 340,(1994),,"Congo (Bas-Kouilou), Angola (Cuanza Sul)",shrub,seasonally dry tropical,Coffea kapakata,(A.Chev.) Bridson,45579,166978,,,45380,977414-1,,Y,Coffea kapakata (A.Chev.) Bridson,977414-1,45579,Coffea
39,Odontadenia semidigyna,77191232-1,Odontadenia semidigyna,Odontadenia semidigyna (P.J.Bergius) J.F.Morales,Apocynaceae,Species,Odontadenia,Odontadenia Benth.,137441,2465-1,Genus,530683,77191232-1,Species,Accepted,Apocynaceae,,Odontadenia,,semidigyna,,,P.J.Bergius,J.F.Morales,,Novon, 26: 162,(2018),,S. Mexico to S. Trop. America and Trinidad,climber,wet tropical,Odontadenia semidigyna,(P.J.Bergius) J.F.Morales,530683,66158,,,137441,77191232-1,,Y,Odontadenia semidigyna (P.J.Bergius) J.F.Morales,77191232-1,530683,Odontadenia
40,Schultesia guianensis,230042-2,Schultesia guianensis,Schultesia guianensis (Aubl.) Malme,Gentianaceae,Species,Schultesia,Schultesia Mart.,2873014,331944-2,Genus,2589761,230042-2,Species,Accepted,Gentianaceae,,Schultesia,,guianensis,,,Aubl.,Malme,,Ark. Bot., 3(12): 9,(1904),,Mexico to Trop. America,,wet tropical,Schultesia guianensis,(Aubl.) Malme,2589761,2806048,,,2873014,230042-2,,N,Schultesia guianensis (Aubl.) Malme,230042-2,2589761,Schultesia
41,Eustoma russellianum,367445-1,Eustoma russellianum,Eustoma russellianum (Hook.) G.Don,Gentianaceae,Species,Eustoma,Eustoma Salisb.,2805317,330227-2,Genus,2805333,367445-1,Species,Accepted,Gentianaceae,,Eustoma,,russellianum,,,Hook.,G.Don,R.Sweet,Hort. Brit.,", ed. 3: 473",(1839),,SW. South Dakota to NE. Mexico,annual or biennial,temperate,Eustoma russellianum,(Hook.) G.Don,2805333,2350438,,,2805317,367445-1,,N,Eustoma russellianum (Hook.) G.Don,367445-1,2805333,Eustoma
42,Rauvolfia hookeri,940994-1,Rauvolfia hookeri,Rauvolfia hookeri S.R.Sriniv. & Chithra,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176852,940994-1,Species,Accepted,Apocynaceae,,Rauvolfia,,hookeri,,,,S.R.Sriniv. & Chithra,,Fl. Tamil Nadu, 2: 78,(1987),,S. India,shrub,seasonally dry tropical,Rauvolfia hookeri,S.R.Sriniv. & Chithra,176852,200982,Bedd.,,176797,940994-1,,Y,Rauvolfia hookeri S.R.Sriniv. & Chithra,940994-1,176852,Rauvolfia
43,Telosma procumbens,102163-1,Telosma procumbens,Telosma procumbens (Blanco) Merr.,Apocynaceae,Species,Telosma,Telosma Coville,512743,3755-1,Genus,512756,102163-1,Species,Accepted,Apocynaceae,,Telosma,,procumbens,,,Blanco,Merr.,,"Philipp. J. Sci., C", 7: 243,(1912),,"S. China to Vietnam, Philippines",climbing shrub,wet tropical,Telosma procumbens,(Blanco) Merr.,512756,510190,,,512743,102163-1,,Y,Telosma procumbens (Blanco) Merr.,102163-1,512756,Telosma
44,Swertia macrosperma,370972-1,Swertia macrosperma,Swertia macrosperma (C.B.Clarke) C.B.Clarke,Gentianaceae,Species,Swertia,Swertia L.,2590364,30002722-2,Genus,2590070,370972-1,Species,Accepted,Gentianaceae,,Swertia,,macrosperma,,,C.B.Clarke,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 4: 123,(1883),,"Nepal to S. China and N. Myanmar, Taiwan",annual,temperate,Swertia macrosperma,(C.B.Clarke) C.B.Clarke,2590070,2387763,,,2590364,370972-1,,N,Swertia macrosperma (C.B.Clarke) C.B.Clarke,370972-1,2590070,Swertia
