,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
44,Acranthera siamensis,Acranthera siamensis (Kerr) Bremek.,"('THA',)",
45,Acranthera siliquosa,Acranthera siliquosa Bremek.,"('BOR',)",
46,Acranthera simalurensis,Acranthera simalurensis Bremek.,"('SUM',)",
47,Acranthera sinensis,Acranthera sinensis C.Y.Wu,"('CHC', 'VIE')",
48,Acranthera strigosa,Acranthera strigosa Valeton,"('BOR',)",
49,Acranthera tomentosa,Acranthera tomentosa R.Br. ex Hook.f.,"('ASS', 'BAN')",
50,Acranthera variegata,Acranthera variegata Merr.,"('BOR',)",
51,Acranthera velutinervia,Acranthera velutinervia Bremek.,"('BOR',)",
52,Acranthera virescens,Acranthera virescens (Ridl.) Govaerts,"('MLY',)",
53,Acranthera yatesii,Acranthera yatesii Merr.,"('SUM',)",
54,Acrobotrys discolor,Acrobotrys discolor K.Schum. & K.Krause,"('CLM',)",
55,Acrosynanthus jamaicensis,Acrosynanthus jamaicensis Howard & Proctor,"('JAM',)",
56,Acrosynanthus latifolius,Acrosynanthus latifolius Standl.,"('CUB',)",
57,Acrosynanthus minor,Acrosynanthus minor Urb.,"('CUB',)",
58,Acrosynanthus ovatus,Acrosynanthus ovatus Urb.,"('CUB',)",
59,Acrosynanthus parvifolius,Acrosynanthus parvifolius Britton ex Standl.,"('CUB',)",
60,Acrosynanthus revolutus,Acrosynanthus revolutus Urb.,"('CUB',)",
61,Acrosynanthus trachyphyllus,Acrosynanthus trachyphyllus Standl.,"('CUB',)",
62,Acunaeanthus tinifolius,Acunaeanthus tinifolius (Griseb.) Borhidi,"('CUB',)",
63,Adelphacme minima,"Adelphacme minima (B.J.Conn) K.L.Gibbons, B.J.Conn & Henwood","('WAU',)",
64,Adenium boehmianum,Adenium boehmianum Schinz,"('ANG', 'NAM')",
65,Adenium dhofarense,Adenium dhofarense Rzepecky,"('OMA',)",
66,Adenium multiflorum,Adenium multiflorum Klotzsch,"('MLW', 'MOZ', 'NAT', 'SWZ', 'TVL', 'ZAM', 'ZIM')",
67,Adenium obesum,Adenium obesum (Forssk.) Roem. & Schult.,"('BEN', 'BKN', 'BUR', 'CHA', 'CMN', 'ETH', 'GHA', 'GNB', 'GUI', 'IVO', 'KEN', 'MLI', 'MTN', 'NGA', 'NGR', 'OMA', 'SAU', 'SEN', 'SOC', 'SOM', 'SUD', 'TAN', 'TOG', 'UGA', 'YEM')","('SCI',)"
68,Adenium oleifolium,Adenium oleifolium Stapf,"('BOT', 'CPP', 'NAM', 'TVL')",
69,Adenium swazicum,Adenium swazicum Stapf,"('MOZ', 'SWZ', 'TVL')",
70,Adenolisianthus arboreus,Adenolisianthus arboreus (Spruce ex Progel) Gilg,"('BZN', 'CLM', 'VEN')",
71,Adenorandia kalbreyeri,Adenorandia kalbreyeri (Hiern) Robbr. & Bridson,"('CAB', 'CMN', 'CON', 'GAB', 'IVO', 'NGA', 'ZAI')",
72,Adina cordifolia,Adina cordifolia (Roxb.) Brandis,"('ASS', 'BAN', 'CBD', 'CHC', 'CHS', 'EHM', 'IND', 'LAO', 'MLY', 'MYA', 'NEP', 'SRL', 'THA', 'VIE')",
73,Adina dissimilis,Adina dissimilis Craib,"('MLY', 'THA')",
74,Adina eurhyncha,Adina eurhyncha (Miq.) Å.Krüger & Löfstrand,"('BOR', 'MLY', 'SUM')",
75,Adina fagifolia,Adina fagifolia (Teijsm. & Binn. ex Havil.) Valeton ex Merr.,"('MOL', 'SUL')",
76,Adina malaccensis,Adina malaccensis (Ridsdale) Å.Krüger & Löfstrand,"('MLY', 'THA')",
77,Adina metcalfii,Adina metcalfii Merr. ex H.L.Li,"('CHH', 'CHS', 'THA')",
78,Adina multifolia,Adina multifolia Havil.,"('MOL', 'NWG', 'PHI')",
79,Adina pilulifera,Adina pilulifera (Lam.) Franch. ex Drake,"('CHC', 'CHH', 'CHS', 'JAP', 'VIE')",
80,Adina pubicostata,Adina pubicostata Merr.,"('CHS', 'VIE')",
81,Adina racemosa,Adina racemosa (Siebold & Zucc.) Miq.,"('CHC', 'CHS', 'JAP', 'MYA', 'NNS', 'TAI', 'THA')",
82,Adina rubella,Adina rubella Hance,"('CHN', 'CHS', 'KOR')",
83,Adina trichotoma,Adina trichotoma (Zoll. & Moritzi) Benth. & Hook.f. ex B.D.Jacks.,"('ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'CHS', 'JAW', 'LAO', 'MLY', 'MOL', 'MYA', 'NWG', 'PHI', 'SUL', 'SUM', 'THA', 'VIE')",
84,Adolphoduckea maynensis,Adolphoduckea maynensis (Poepp. & Endl.) Paudyal & Delprete,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')",
85,Afrocanthium burttii,Afrocanthium burttii (Bullock) Lantz,"('BOT', 'TAN', 'ZAI', 'ZAM')",
86,Afrocanthium gilfillanii,Afrocanthium gilfillanii (N.E.Br.) Lantz,"('BOT', 'NAT', 'SWZ', 'TVL')",
87,Afrocanthium keniense,Afrocanthium keniense (Bullock) Lantz,"('KEN',)",
88,Afrocanthium kilifiense,Afrocanthium kilifiense (Bridson) Lantz,"('KEN',)",
89,Afrocanthium lactescens,Afrocanthium lactescens (Hiern) Lantz,"('ANG', 'BUR', 'ETH', 'KEN', 'MOZ', 'RWA', 'SUD', 'TAN', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
90,Afrocanthium mundianum,Afrocanthium mundianum (Cham. & Schltdl.) Lantz,"('CPP', 'MOZ', 'NAT', 'SWZ', 'TVL', 'ZIM')","('STH',)"
91,Afrocanthium ngonii,Afrocanthium ngonii (Bridson) Lantz,"('MOZ', 'ZIM')",
92,Afrocanthium parasiebenlistii,Afrocanthium parasiebenlistii (Bridson) Lantz,"('MLW', 'TAN', 'ZAI', 'ZAM')",
93,Afrocanthium peteri,Afrocanthium peteri (Bridson) Lantz,"('KEN', 'TAN')",
94,Afrocanthium pseudorandii,Afrocanthium pseudorandii (Bridson) Lantz,"('BOT', 'MLW', 'ZAM', 'ZIM')",
95,Afrocanthium pseudoverticillatum,Afrocanthium pseudoverticillatum (S.Moore) Lantz,"('KEN', 'MOZ', 'SOM', 'TAN')",
96,Afrocanthium racemulosum,Afrocanthium racemulosum (S.Moore) Lantz,"('MLW', 'MOZ', 'TAN', 'ZIM')",
97,Afrocanthium rondoense,Afrocanthium rondoense (Bridson) Lantz,"('TAN',)",
98,Afrocanthium salubenii,Afrocanthium salubenii (Bridson) Lantz,"('MLW',)",
99,Afrocanthium shabanii,Afrocanthium shabanii (Bridson) Lantz,"('TAN',)",
100,Afrocanthium siebenlistii,Afrocanthium siebenlistii (K.Krause) Lantz,"('TAN',)",
101,Afrocanthium vollesenii,Afrocanthium vollesenii (Bridson) Lantz,"('TAN',)",
102,Aganosma breviloba,Aganosma breviloba Kerr,"('CHC', 'MYA', 'THA')",
103,Aganosma cymosa,Aganosma cymosa (Roxb.) G.Don,"('ASS', 'BAN', 'CBD', 'CHC', 'CHS', 'IND', 'LAO', 'SRL', 'THA', 'VIE')",
104,Aganosma gracilis,Aganosma gracilis Hook.f.,"('ASS', 'EHM')",
105,Aganosma heynei,Aganosma heynei (Spreng.) I.M.Turner,"('IND',)",
106,Aganosma lacei,Aganosma lacei Raizada,"('MYA',)",
107,Aganosma petelotii,Aganosma petelotii Lý,"('VIE',)",
108,Aganosma schlechteriana,Aganosma schlechteriana H.Lév.,"('ASS', 'CBD', 'CHC', 'CHH', 'CHS', 'MYA', 'TAI', 'THA', 'VIE')",
109,Aganosma siamensis,Aganosma siamensis Craib,"('CHC', 'CHS', 'THA', 'VIE')",
110,Aganosma wallichii,Aganosma wallichii G.Don,"('JAW', 'MLY', 'MYA', 'SUM', 'THA')",
111,Agathisanthemum assimile,Agathisanthemum assimile Bremek.,"('TAN',)",
112,Agathisanthemum bojeri,Agathisanthemum bojeri Klotzsch,"('ANG', 'COM', 'KEN', 'MDG', 'MOZ', 'NAT', 'SOM', 'SWZ', 'TAN', 'TVL', 'ZAM', 'ZIM')",
113,Agathisanthemum chlorophyllum,Agathisanthemum chlorophyllum (Hochst.) Bremek.,"('NAT',)",
114,Agathisanthemum globosum,Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch,"('ANG', 'BUR', 'CON', 'ETH', 'GAB', 'KEN', 'MLW', 'MOZ', 'RWA', 'TAN', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
115,Agouticarpa curviflora,Agouticarpa curviflora (Dwyer) C.H.Perss.,"('BOL', 'BZN', 'CLM', 'ECU', 'PAN', 'PER')",
116,Agouticarpa grandistipula,Agouticarpa grandistipula C.H.Perss.,"('ECU',)",
117,Agouticarpa hirsuta,Agouticarpa hirsuta C.H.Perss.,"('ECU',)",
118,Agouticarpa isernii,Agouticarpa isernii (Standl.) C.H.Perss.,"('CLM', 'ECU', 'PER')",
119,Agouticarpa spinosa,Agouticarpa spinosa C.H.Perss. & Delprete,"('PER',)",
120,Agouticarpa velutina,Agouticarpa velutina C.H.Perss.,"('ECU', 'PER')",
121,Agouticarpa williamsii,Agouticarpa williamsii (Standl.) C.H.Perss.,"('CLM', 'COS', 'ECU', 'PAN')",
122,Aidia abeidii,Aidia abeidii S.E.Dawson & Gereau,"('TAN',)",
123,Aidia acuminata,Aidia acuminata (Blume) K.M.Wong,"('BOR', 'JAW', 'MLY', 'MOL', 'PHI', 'SUL', 'SUM')",
124,Aidia acutipetala,Aidia acutipetala Ridsdale,"('BOR',)",
125,Aidia auriculata,Aidia auriculata (Wall.) Ridsdale,"('BOR', 'JAW', 'MLY', 'PHI', 'SUM', 'THA')",
126,Aidia bakeri,Aidia bakeri (Merr.) Ridsdale,"('PHI',)",
127,Aidia beccariana,Aidia beccariana (Baill.) Ridsdale,"('BOR',)",
128,Aidia borneensis,Aidia borneensis Ridsdale,"('BOR',)",
129,Aidia bracteata,Aidia bracteata Ridsdale,"('SUL',)",
130,Aidia brisipensis,Aidia brisipensis Ridsdale,"('SOL',)",
131,Aidia canthioides,Aidia canthioides (Champ. ex Benth.) Masam.,"('CHC', 'CHH', 'CHS', 'NNS', 'TAI', 'VIE')",
132,Aidia chantonea,Aidia chantonea Tirveng.,"('ASS', 'CBD', 'THA', 'VIE')",
133,Aidia cochinchinensis,Aidia cochinchinensis Lour.,"('CHC', 'CHH', 'VIE')",
134,Aidia congesta,Aidia congesta (Schltr. & K.Krause) Ridsdale,"('NWC',)",
135,Aidia corymbosa,Aidia corymbosa (Blume) K.M.Wong,"('BOR', 'JAW', 'SUM')",
136,Aidia cowleyi,Aidia cowleyi Puttock,"('QLD',)",
137,Aidia crassifolia,Aidia crassifolia S.E.Dawson & Gereau,"('TAN',)",
138,Aidia densiflora,Aidia densiflora (Wall.) Masam.,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'IND', 'JAW', 'MLY', 'MYA', 'SUM', 'THA')",
139,Aidia dilleniacea,Aidia dilleniacea (Baill.) Ridsdale,"('BOR', 'SUM')",
140,Aidia endertii,Aidia endertii Ridsdale,"('BOR',)",
141,Aidia foveata,Aidia foveata Ridsdale,"('BOR', 'PHI')",
142,Aidia gardneri,Aidia gardneri (Thwaites) Tirveng.,"('SRL',)",
143,Aidia genipiflora,Aidia genipiflora (DC.) Dandy,"('BEN', 'CAF', 'CMN', 'GGI', 'GNB', 'GUI', 'IVO', 'LBR', 'SEN', 'SIE', 'SUD', 'TOG')",
144,Aidia glabra,Aidia glabra (Valeton) Ridsdale,"('NWG',)",
145,Aidia gyropetala,Aidia gyropetala A.J.Ford & Halford,"('QLD',)",
146,Aidia halleri,Aidia halleri Ridsdale,"('BOR',)",
147,Aidia henryi,Aidia henryi (E.Pritz.) T.Yamaz.,"('CHC', 'CHH', 'CHS', 'JAP', 'TAI', 'THA', 'VIE')",
148,Aidia heterophylla,Aidia heterophylla Ridsdale,"('SUL',)",
149,Aidia impressinervis,Aidia impressinervis (King & Gamble) Ridsdale,"('BOR', 'MLY', 'SUM')",
150,Aidia jambosoides,Aidia jambosoides (Valeton) Ridsdale,"('BOR',)",
151,Aidia kinabaluensis,Aidia kinabaluensis Ridsdale,"('BOR',)",
152,Aidia lancifolia,Aidia lancifolia K.M.Wong,"('BOR', 'MLY', 'SUM')",
153,Aidia longiflora,Aidia longiflora Ridsdale,"('BOR',)",
154,Aidia magnifolia,Aidia magnifolia Ridsdale,"('BOR',)",
155,Aidia micrantha,Aidia micrantha (K.Schum.) Bullock ex F.White,"('ANG', 'BUR', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'MLW', 'MOZ', 'TAN', 'UGA', 'ZAI', 'ZAM', 'ZIM')","('BAN',)"
156,Aidia moluccana,Aidia moluccana Ridsdale,"('MOL',)",
157,Aidia ochroleuca,Aidia ochroleuca (K.Schum.) E.M.A.Petit,"('CAB', 'CAF', 'CMN', 'GAB', 'ZAI')",
158,Aidia oxyodonta,Aidia oxyodonta (Drake) T.Yamaz.,"('CHH', 'CHS', 'VIE')",
159,Aidia paiei,Aidia paiei Ridsdale,"('BOR',)",
160,Aidia parvifolia,Aidia parvifolia (King & Gamble) K.M.Wong,"('MLY', 'MYA', 'THA')",
161,Aidia polystachya,Aidia polystachya (Valeton) Ridsdale,"('NWG',)",
162,Aidia pseudospicata,Aidia pseudospicata Ridsdale,"('ASS', 'BAN')",
163,Aidia pulcherrima,Aidia pulcherrima (Merr.) Ridsdale,"('PHI',)",
164,Aidia pycnantha,Aidia pycnantha (Drake) Tirveng.,"('CHC', 'CHH', 'CHS', 'VIE')",
165,Aidia quintasii,Aidia quintasii (K.Schum.) G.Taylor,"('GGI',)",
166,Aidia racemosa,Aidia racemosa (Cav.) Tirveng.,"('BOR', 'CHH', 'CRL', 'GIL', 'JAW', 'LSI', 'MLY', 'MOL', 'MRN', 'MRS', 'NCB', 'NRU', 'NTA', 'NWG', 'PHI', 'QLD', 'SAM', 'SOL', 'SUL', 'TAI', 'THA', 'TON', 'VAN', 'VIE', 'WAL', 'WAU', 'XMS')",
167,Aidia rhacodosepala,Aidia rhacodosepala (K.Schum.) E.M.A.Petit,"('CMN',)",
168,Aidia rubens,Aidia rubens (Hiern) G.Taylor,"('CAB', 'CMN', 'GAB')",
169,Aidia salicifolia,Aidia salicifolia (H.L.Li) T.Yamaz.,"('CHS',)",
170,Aidia solomonensis,Aidia solomonensis Ridsdale,"('SOL',)",
171,Aidia tomentosa,Aidia tomentosa (Blume) Ridsdale,"('JAW', 'LSI', 'SUL')",
172,Aidia vieillardii,Aidia vieillardii (Baill.) Ridsdale,"('NWC',)",
173,Aidia vitiensis,Aidia vitiensis (Seem.) Puttock,"('FIJ',)",
174,Aidia wattii,Aidia wattii G.Taylor,"('GGI',)",
175,Aidia waugia,Aidia waugia Ridsdale,"('NWG',)",
176,Aidia yunnanensis,Aidia yunnanensis (Hutch.) T.Yamaz.,"('CHC', 'THA')",
177,Aidia zippeliana,Aidia zippeliana (Scheff.) Ridsdale,"('NWG',)",
178,Aidiopsis orophila,Aidiopsis orophila (Miq.) Ridsdale,"('AND', 'JAW', 'MLY', 'SUM', 'THA')",
179,Airosperma fuscum,Airosperma fuscum S.Moore,"('NWG',)",
180,Airosperma grandifolia,Airosperma grandifolia Valeton,"('NWG',)",
181,Airosperma psychotrioides,Airosperma psychotrioides K.Schum. & Lauterb.,"('NWG',)",
182,Airosperma ramuensis,Airosperma ramuensis K.Schum. & Lauterb.,"('NWG',)",
183,Airosperma trichotomum,Airosperma trichotomum (Gillespie) A.C.Sm.,"('FIJ',)",
184,Airosperma vanuense,Airosperma vanuense S.P.Darwin,"('FIJ',)",
185,Aitchisonia rosea,Aitchisonia rosea Hemsl. ex Aitch.,"('AFG', 'IRN', 'PAK')",
186,Alafia alba,Alafia alba Pichon,"('MDG',)",
187,Alafia barteri,Alafia barteri Oliv.,"('BEN', 'CMN', 'EQG', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'SIE')",
188,Alafia benthamii,Alafia benthamii (Baill.) Stapf,"('BEN', 'CAF', 'CMN', 'CON', 'GAB', 'GNB', 'GUI', 'LBR', 'NGA', 'SIE', 'ZAI')",
189,Alafia berrieri,Alafia berrieri Jum.,"('MDG',)",
190,Alafia calophylla,Alafia calophylla Pichon,"('MDG',)",
191,Alafia caudata,Alafia caudata Stapf,"('ANG', 'CAB', 'CAF', 'CMN', 'CON', 'GAB', 'KEN', 'MOZ', 'TAN', 'ZAI', 'ZIM')",
192,Alafia erythrophthalma,Alafia erythrophthalma (K.Schum.) Leeuwenb.,"('CAB', 'CAF', 'CMN', 'CON', 'GAB', 'GGI', 'NGA', 'UGA', 'ZAI')",
193,Alafia falcata,Alafia falcata Leeuwenb.,"('EQG', 'GAB')",
194,Alafia fuscata,Alafia fuscata Pichon,"('MDG',)",
195,Alafia insularis,Alafia insularis Pichon,"('MDG',)",
196,Alafia intermedia,Alafia intermedia Pichon,"('MDG',)",
197,Alafia landolphioides,Alafia landolphioides (A.DC.) K.Schum.,"('BEN', 'BKN', 'CMN', 'CON', 'GAM', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'NGA', 'SEN', 'SIE', 'TOG', 'ZAI')",
198,Alafia lucida,Alafia lucida Stapf,"('ANG', 'CAF', 'CMN', 'CON', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA', 'RWA', 'TAN', 'TOG', 'UGA', 'ZAI')",
199,Alafia microstylis,Alafia microstylis K.Schum.,"('KEN', 'MOZ', 'TAN', 'UGA', 'ZAI')",
200,Alafia multiflora,Alafia multiflora (Stapf) Stapf,"('CAF', 'CMN', 'CON', 'EGY', 'GAB', 'GGI', 'GHA', 'IVO', 'LBR', 'NGA', 'SUD', 'ZAI')",
201,Alafia nigrescens,Alafia nigrescens Pichon,"('MDG',)",
202,Alafia orientalis,Alafia orientalis K.Schum. ex De Wild.,"('MOZ', 'TAN', 'UGA', 'ZAI', 'ZIM')",
203,Alafia parciflora,Alafia parciflora Stapf,"('LBR',)",
204,Alafia pauciflora,Alafia pauciflora Radlk.,"('MDG',)",
205,Alafia perrieri,Alafia perrieri Jum.,"('MDG',)",
206,Alafia schumannii,Alafia schumannii Stapf,"('ANG', 'CAB', 'CMN', 'CON', 'GAB', 'GNB', 'IVO', 'LBR', 'NGA', 'SIE', 'UGA', 'ZAI')",
207,Alafia thouarsii,Alafia thouarsii Roem. & Schult.,"('MDG',)",
208,Alafia vallium,Alafia vallium Pichon,"('MDG',)",
209,Alafia whytei,Alafia whytei Stapf,"('CON', 'IVO', 'LBR')",
210,Alafia zambesiaca,Alafia zambesiaca Kupicha,"('TAN', 'ZAI', 'ZAM', 'ZIM')",
211,Alberta magna,Alberta magna E.Mey.,"('NAT',)",
212,Aleisanthia rupestris,Aleisanthia rupestris (Ridl.) Ridl.,"('MLY',)",
213,Aleisanthia sylvatica,Aleisanthia sylvatica Ridl.,"('MLY',)",
214,Aleisanthiopsis distantiflora,Aleisanthiopsis distantiflora (Merr.) Tange,"('BOR',)",
215,Aleisanthiopsis multiflora,Aleisanthiopsis multiflora Tange,"('BOR',)",
216,Alibertia atlantica,Alibertia atlantica (Dwyer) Delprete & C.H.Perss.,"('COS', 'NIC', 'PAN')",
217,Alibertia bertierifolia,Alibertia bertierifolia K.Schum.,"('BOL', 'BZN', 'CLM', 'ECU', 'GUY', 'PAN', 'PER', 'VEN')",
218,Alibertia claviflora,Alibertia claviflora K.Schum.,"('BOL', 'BZN', 'PER')",
219,Alibertia curviflora,Alibertia curviflora K.Schum.,"('BOL', 'BZN', 'ECU', 'PER')",
220,Alibertia duckeana,Alibertia duckeana Delprete & C.H.Perss.,"('BZN', 'CLM', 'ECU', 'PER')",
221,Alibertia dwyeri,Alibertia dwyeri Delprete & C.H.Perss.,"('PAN',)",
222,Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'SWC', 'TRT', 'VEN', 'WIN')",
223,Alibertia latifolia,Alibertia latifolia (Benth.) K.Schum.,"('BOL', 'BZC', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PAR', 'PER', 'SUR', 'VEN')",
224,Alibertia occidentalis,Alibertia occidentalis Delprete & C.H.Perss.,"('BZN', 'ECU', 'PER')",
225,Alibertia patinoi,Alibertia patinoi (Cuatrec.) Delprete & C.H.Perss.,"('CLM', 'COS', 'ECU', 'PAN')",
226,Alibertia sorbilis,Alibertia sorbilis Huber ex Ducke,"('BOL', 'BZN', 'ECU', 'PER')",
227,Alibertia tessmannii,Alibertia tessmannii (Standl.) Delprete & C.H.Perss.,"('CLM', 'PER')",
228,Alibertia utleyorum,Alibertia utleyorum (Dwyer) C.M.Taylor,"('COS',)",
229,Alibertia venezuelensis,Alibertia venezuelensis (Steyerm.) Delprete & C.H.Perss.,"('VEN',)",
230,Alibertia verticillata,Alibertia verticillata (Ducke) W.Schultze-Motel,"('BZN', 'CLM', 'ECU', 'PER')",
231,Allamanda angustifolia,Allamanda angustifolia Pohl,"('BZC',)",
232,Allamanda blanchetii,Allamanda blanchetii A.DC.,"('BZE',)","('SCI',)"
233,Allamanda calcicola,Allamanda calcicola Souza-Silva & Rapini,"('BZE', 'BZL')",
234,Allamanda cathartica,Allamanda cathartica L.,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'FRG', 'GUY', 'HON', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')","('AND', 'ANG', 'BAN', 'BLZ', 'CHH', 'CHS', 'COM', 'COO', 'CRL', 'EHM', 'ELS', 'GAB', 'GGI', 'GIL', 'GUA', 'IND', 'JAW', 'MDG', 'MLY', 'MRN', 'MRS', 'MXC', 'MXS', 'MXT', 'PUE', 'SAM', 'SCI', 'TAI', 'TAN', 'THA', 'TRT', 'VAN', 'ZIM')"
235,Allamanda doniana,Allamanda doniana Müll.Arg.,"('BZE', 'BZN', 'VEN')",
236,Allamanda laevis,Allamanda laevis Markgr.,"('BZE', 'BZL')",
237,Allamanda martii,Allamanda martii Müll.Arg.,"('BZE', 'BZL')",
238,Allamanda nobilis,Allamanda nobilis T.Moore,"('BZN', 'VEN')",
239,Allamanda oenotherifolia,Allamanda oenotherifolia Pohl,"('BZC', 'BZL')","('CRL', 'SCI', 'VEN')"
240,Allamanda polyantha,Allamanda polyantha Müll.Arg.,"('BZL',)",
241,Allamanda puberula,Allamanda puberula A.DC.,"('BZC', 'BZE', 'BZL')",
242,Allamanda schottii,Allamanda schottii Pohl,"('AGE', 'BZL', 'BZS', 'FRG')","('BAN', 'CHH', 'CHS', 'COS', 'GAL', 'HON', 'MXT', 'PAN', 'PUE', 'TAI')"
243,Allamanda setulosa,Allamanda setulosa Miq.,"('SUR',)",
244,Allamanda thevetifolia,Allamanda thevetifolia Müll.Arg.,"('CLM', 'VEN')",
245,Allamanda weberbaueri,Allamanda weberbaueri Markgr.,"('PER',)",
246,Alleizettella leucocarpa,Alleizettella leucocarpa (Champ. ex Benth.) Tirveng.,"('CHH', 'CHS', 'VIE')",
247,Alleizettella rubra,Alleizettella rubra Pit.,"('VIE',)",
248,Allomarkgrafia antioquiana,Allomarkgrafia antioquiana J.F.Morales,"('CLM',)",
249,Allomarkgrafia brenesiana,Allomarkgrafia brenesiana Woodson,"('COS', 'PAN')",
