"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"BOL","BOL",809.378651,67.727863,41
"BZC","BZC",705.4288905,67.727863,31
"BZL","BZL",763.4599785,67.727863,34
"BZN","BZN",824.472406,67.727863,43
"BZS","BZS",386.797844,67.727863,16
"CLM","CLM",887.7836225,67.727863,47
"COS","COS",728.669083,67.727863,35
"FRG","FRG",670.256645,67.727863,29
"GUY","GUY",708.837889,67.727863,32
"HON","HON",626.000345,67.727863,26
"NIC","NIC",675.240346,67.727863,31
"PAN","PAN",735.798573,67.727863,35
"PER","PER",837.532292,67.727863,43
"SUR","SUR",641.734097,67.727863,26
"VEN","VEN",805.235298,67.727863,41
"CAB","CAB",393.762529,67.727863,20
"CAF","CAF",703.407836,67.727863,37
"CON","CON",685.746559,67.727863,35
"EQG","EQG",350.340132,67.727863,15
"GAB","GAB",630.269877,67.727863,32
"LBR","LBR",524.825367,67.727863,27
"NSW","NSW",219.643485,60.047505,6
"QLD","QLD",648.866854,67.727863,26
"COO","COO",135.455726,67.727863,2
"FIJ","FIJ",333.481115,67.727863,10
"MRQ","MRQ",161.728369,67.727863,3
"NWC","NWC",364.205071,67.727863,10
"SAM","SAM",319.281207,67.727863,8
"SCI","SCI",210.61207,67.727863,5
"SCZ","SCZ",187.170466,67.727863,4
"SOL","SOL",445.511943,67.727863,17
"TON","TON",319.281207,67.727863,8
"VAN","VAN",394.992702,67.727863,12
"AND","AND",956.481141,67.727863,44
"NCB","NCB",748.296092,67.727863,34
"BIS","BIS",395.487068,67.727863,13
"LDV","LDV",348.230728,67.727863,11
"LSI","LSI",734.350835,67.727863,32
"NTA","NTA",591.106293,67.727863,20
"PAK","PAK",438.8135395,67.727863,24
"WAU","WAU",392.730738,67.727863,12
"WHM","WHM",586.203665,67.727863,30
"ABT","ABT",162.944015,67.727863,4
"ALA","ALA",266.622975,67.727863,10
"ARI","ARI",252.524256,67.727863,11
"ARK","ARK",219.670387,67.727863,8
"BRC","BRC",162.944015,67.727863,4
"CAL","CAL",234.064618,67.727863,11
"CNT","CNT",240.806909,67.727863,8
"COL","COL",173.303124,67.727863,7
"DEL","DEL",52.681397,21.894459,5
"IDA","IDA",161.028399,67.727863,4
"ILL","ILL",254.565548,67.727863,11
"INI","INI",219.670387,67.727863,8
"IOW","IOW",56.359611,21.894459,6
"KTY","KTY",244.485123,67.727863,9
"MAI","MAI",240.806909,67.727863,8
"MAN","MAN",169.62491,67.727863,6
"MAS","MAS",240.806909,67.727863,8
"MIC","MIC",201.137825,67.727863,9
"MIN","MIN",244.485123,67.727863,9
"MNT","MNT",164.03108,67.727863,5
"MRY","MRY",240.806909,67.727863,8
"MSO","MSO",244.485123,67.727863,9
"MXE","MXE",642.4539325,67.727863,31
"NBR","NBR",165.946696,67.727863,5
"NCA","NCA",240.806909,67.727863,8
"NDA","NDA",56.063643,21.894459,5
"NEB","NEB",177.277306,67.727863,9
"NEV","NEV",56.739176,21.894459,5
"NFL","NFL",172.266503,67.727863,5
"NSC","NSC",190.761432,67.727863,6
"NWH","NWH",247.20912,67.727863,9
"NWJ","NWJ",216.800554,67.727863,7
"NWM","NWM",251.848723,67.727863,11
"NWY","NWY",247.20912,67.727863,9
"OHI","OHI",194.735614,67.727863,8
"ONT","ONT",247.20912,67.727863,9
"ORE","ORE",162.944015,67.727863,4
"PEI","PEI",160.352866,67.727863,4
"PEN","PEN",215.992173,67.727863,7
"QUE","QUE",247.20912,67.727863,9
"RHO","RHO",240.806909,67.727863,8
"SAS","SAS",53.060962,21.894459,4
"SDA","SDA",173.599092,67.727863,8
"TEX","TEX",316.932102,67.727863,16
"UTA","UTA",173.303124,67.727863,7
"VER","VER",247.20912,67.727863,9
"VRG","VRG",240.806909,67.727863,8
"WAS","WAS",162.944015,67.727863,4
"WIS","WIS",250.887334,67.727863,10
"WYO","WYO",53.060962,21.894459,4
"FLA","FLA",440.688306,67.727863,17
"GEO","GEO",214.076557,67.727863,7
"LOU","LOU",261.029145,67.727863,9
"MSI","MSI",161.324367,67.727863,5
"MXN","MXN",527.180979,67.727863,24
"OKL","OKL",171.683476,67.727863,8
"SCA","SCA",238.891293,67.727863,8
"WDC","WDC",47.087567,21.894459,4
"WVA","WVA",164.327048,67.727863,6
"AFG","AFG",228.3704885,67.727863,10
"ALT","ALT",169.081112,67.727863,7
"BRY","BRY",171.575564,67.727863,7
"BUL","BUL",240.235854,67.727863,13
"CHI","CHI",214.747102,67.727863,9
"CHM","CHM",198.352228,67.727863,8
"CHQ","CHQ",189.099524,67.727863,6
"CHT","CHT",316.340038,67.727863,14
"CHX","CHX",189.099524,67.727863,6
"CYP","CYP",181.791066,67.727863,5
"IRN","IRN",270.4957705,67.727863,14
"IRQ","IRQ",239.908411,67.727863,9
"ITA","ITA",267.276038,67.727863,16
"KAZ","KAZ",182.295916,67.727863,6
"KGZ","KGZ",167.858455,67.727863,5
"KRA","KRA",155.385317,67.727863,7
"KRY","KRY",226.075343,67.727863,12
"MON","MON",178.212966,67.727863,6
"NCS","NCS",239.996297,67.727863,12
"PAL","PAL",277.037115,67.727863,13
"RUC","RUC",209.157381,67.727863,10
"RUE","RUE",171.815121,67.727863,8
"RUS","RUS",218.519137,67.727863,10
"TCS","TCS",229.641786,67.727863,11
"TKM","TKM",193.182474,67.727863,6
"TUE","TUE",264.608846,67.727863,13
"TUR","TUR",265.717297,67.727863,14
"TZK","TZK",165.539194,67.727863,4
"UKR","UKR",226.075343,67.727863,12
"UZB","UZB",189.099524,67.727863,6
"WSB","WSB",182.169632,67.727863,9
"AGE","AGE",377.218631,67.727863,14
"PAR","PAR",561.57837,67.727863,23
"URU","URU",205.094093,67.727863,6
"BAH","BAH",352.894291,67.727863,11
"BLZ","BLZ",598.930446,67.727863,26
"CAY","CAY",354.896714,67.727863,10
"CUB","CUB",587.00383,67.727863,24
"DOM","DOM",539.14735,67.727863,20
"ECU","ECU",698.2878915,67.727863,34
"ELS","ELS",576.841191,67.727863,24
"GAL","GAL",135.455726,67.727863,2
"GUA","GUA",679.3188805,67.727863,32
"HAI","HAI",526.39556,67.727863,20
"JAM","JAM",409.745085,67.727863,14
"LEE","LEE",483.488504,67.727863,17
"MXC","MXC",544.1757425,67.727863,26
"MXG","MXG",681.31452,67.727863,31
"MXS","MXS",711.615301,67.727863,35
"MXT","MXT",693.121506,67.727863,34
"NLA","NLA",259.320036,67.727863,5
"PUE","PUE",429.236,67.727863,15
"SWC","SWC",371.11085,67.727863,10
"TCI","TCI",268.125172,67.727863,7
"TRT","TRT",500.6074,67.727863,20
"VNA","VNA",374.724699,67.727863,11
"WIN","WIN",465.077821,67.727863,16
"KAN","KAN",18.011505,3.678214,6
"TEN","TEN",223.399045,67.727863,8
"AGW","AGW",178.072991,67.727863,4
"MDG","MDG",446.404873,67.727863,14
"TAI","TAI",633.534308,67.727863,34
"MDV","MDV",266.059408,67.727863,7
"ALG","ALG",261.989499,67.727863,13
"CNY","CNY",145.810237,67.727863,3
"CVI","CVI",178.871316,67.727863,4
"EGY","EGY",203.478935,67.727863,7
"GAM","GAM",463.965839,67.727863,20
"GGI","GGI",393.205273,67.727863,17
"GST","GST",186.430413,67.727863,5
"KUW","KUW",NA,NA,1
"LBS","LBS",261.434002,67.727863,11
"LBY","LBY",212.748086,67.727863,9
"MOR","MOR",233.267183,67.727863,10
"SIE","SIE",548.614916,67.727863,27
"SIN","SIN",73.1759105,21.241069,6
"TUN","TUN",216.94663,67.727863,8
"WSA","WSA",15.678318,7.839159,2
"ALD","ALD",166.350231,67.727863,3
"ANG","ANG",635.579439,67.727863,28
"BOT","BOT",431.127283,67.727863,14
"COM","COM",285.956255,67.727863,7
"CPV","CPV",355.989447,67.727863,10
"MAU","MAU",190.5961,67.727863,5
"NAM","NAM",338.559522,67.727863,10
"REU","REU",204.313413,67.727863,5
"ROD","ROD",61.78901,30.894505,2
"SEY","SEY",208.96952,67.727863,5
"CRL","CRL",359.041884,67.727863,9
"GIL","GIL",224.697138,67.727863,6
"MRS","MRS",210.647332,67.727863,4
"NNS","NNS",502.138872,67.727863,20
"NRU","NRU",160.897823,67.727863,3
"PIT","PIT",135.455726,67.727863,2
"SCS","SCS",270.121005,67.727863,7
"TUA","TUA",160.897823,67.727863,3
"TUB","TUB",160.897823,67.727863,3
"WAL","WAL",269.56696,67.727863,6
"XMS","XMS",185.205235,67.727863,3
"BER","BER",99.499018,49.749509,2
"MXI","MXI",NA,NA,1
"NZN","NZN",NA,NA,1
"NZS","NZS",NA,NA,1
"ALB","ALB",249.340074,67.727863,13
"AUT","AUT",185.637364,67.727863,9
"BGM","BGM",184.528913,67.727863,8
"COR","COR",214.737732,67.727863,10
"CZE","CZE",185.637364,67.727863,9
"EAI","EAI",230.682348,67.727863,10
"FRA","FRA",226.650984,67.727863,13
"GER","GER",185.637364,67.727863,9
"GRB","GRB",34.5567,8.189009,7
"GRC","GRC",220.687573,67.727863,12
"HUN","HUN",185.637364,67.727863,9
"NET","NET",184.528913,67.727863,8
"POL","POL",184.528913,67.727863,8
"POR","POR",222.940537,67.727863,10
"ROM","ROM",217.232944,67.727863,11
"RUW","RUW",27.360446,6.447755,7
"SAR","SAR",213.161667,67.727863,10
"SIC","SIC",218.852945,67.727863,12
"SPA","SPA",226.075343,67.727863,12
"SWI","SWI",187.262922,67.727863,9
"YUG","YUG",251.556976,67.727863,15
"BAL","BAL",206.78821,67.727863,6
"KRI","KRI",184.073564,67.727863,6
"AMU","AMU",150.871084,67.727863,4
"KHA","KHA",159.060093,67.727863,5
"KUR","KUR",135.455726,67.727863,2
"PRM","PRM",185.354432,67.727863,8
"LES","LES",169.653267,67.727863,5
"OFS","OFS",191.791119,67.727863,6
"SOA","SOA",NA,NA,1
"AZO","AZO",141.857937,67.727863,3
"BLR","BLR",180.815167,67.727863,8
"BLT","BLT",149.920662,67.727863,7
"CTA","CTA",145.963996,67.727863,4
"DEN","DEN",147.186653,67.727863,6
"FIN","FIN",149.920662,67.727863,7
"IRE","IRE",27.125845,8.189009,5
"IRK","IRK",18.840792,6.402211,5
"MDR","MDR",NA,NA,1
"NOR","NOR",149.920662,67.727863,7
"RUN","RUN",20.867147,6.402211,6
"SEL","SEL",NA,NA,1
"SWE","SWE",149.920662,67.727863,7
"TVA","TVA",15.123683,6.402211,3
"YAK","YAK",17.857692,6.402211,4
"SAK","SAK",4.638522,2.319261,2
"FOR","FOR",NA,NA,1
"GNL","GNL",12.804422,6.402211,2
"ICE","ICE",12.804422,6.402211,2
"LAB","LAB",12.804422,6.402211,2
"NUN","NUN",NA,NA,1
"ALU","ALU",NA,NA,1
"ASK","ASK",NA,NA,1
"KAM","KAM",5.468018,2.734009,2
"TAS","TAS",NA,NA,1
"NUE","NUE",213.230358,67.727863,4
"CGS","CGS",135.455726,67.727863,2
"CKI","CKI",185.205235,67.727863,3
"LIN","LIN",135.455726,67.727863,2
"MCI","MCI",NA,NA,1
"MRN","MRN",233.461575,67.727863,5
"PHX","PHX",NA,NA,1
"TOK","TOK",135.455726,67.727863,2
"TUV","TUV",135.455726,67.727863,2
"KZN","KZN",49.629472,24.814736,2
"OGA","OGA",182.408314,67.727863,4
"NFK","NFK",NA,NA,1
"HAW","HAW",NA,NA,1
"CPI","CPI",13.187922,6.593961,2
"ARU","ARU",185.205235,67.727863,3
