,accepted_family,Genus,Animal_Richness
82,Apocynaceae,Australluma,550.5042621167228
83,Apocynaceae,Austrochthamalia,621.8395823940058
84,Rubiaceae,Badusa,259.300022756287
85,Apocynaceae,Baharuia,641.22999691072
86,Apocynaceae,Bahiella,585.264757451783
87,Apocynaceae,Baissea,558.1630438795369
88,Apocynaceae,Ballyanthus,283.817663817664
89,Rubiaceae,Balmea,502.3352813019392
90,Apocynaceae,Barjonia,728.5291305980828
91,Apocynaceae,Baroniella,216.717628705148
92,Gentianaceae,Bartonia,259.40023552763927
93,Apocynaceae,Baseonema,602.209492063213
94,Apocynaceae,Batesanthus,578.3877394092644
95,Rubiaceae,Bathysa,706.6895505821163
96,Rubiaceae,Batopedina,578.472319478728
97,Apocynaceae,Baynesia,367.133779264214
98,Apocynaceae,Beaumontia,540.1521933403753
99,Rubiaceae,Belonophora,545.4991916505784
100,Rubiaceae,Benkara,519.8285860141618
101,Rubiaceae,Benzonia,605.541666666667
102,Rubiaceae,Berghesia,340.612836438923
103,Rubiaceae,Bertiera,582.3054051591931
104,Rubiaceae,Bikkia,246.494550361603
105,Gentianaceae,Bisgoeppertia,242.60255166217436
106,Gentianaceae,Blackstonia,211.21404880876534
107,Rubiaceae,Blepharidium,531.1916039780697
108,Apocynaceae,Blepharodon,628.941710647455
109,Rubiaceae,Bobea,206.52064819655
110,Rubiaceae,Boholia,460.3144192280047
111,Loganiaceae,Bonyunia,755.3514494911697
112,Rubiaceae,Bothriospora,781.1694971038509
113,Rubiaceae,Botryarrhena,791.1244287027027
114,Apocynaceae,Boucerosia,490.24156375360474
115,Apocynaceae,Bousigonia,612.7521639201825
116,Rubiaceae,Bouvardia,478.1620005172604
117,Rubiaceae,Brachytome,560.6451523024409
118,Rubiaceae,Bradea,774.474196689387
119,Apocynaceae,Brargentina,510.36344088926563
120,Rubiaceae,Bremeria,107.23920956838266
121,Rubiaceae,Brenania,597.4520256309637
122,Rubiaceae,Breonadia,483.145651794426
123,Rubiaceae,Breonia,216.717628705148
124,Rubiaceae,Bridsonia,510.582432868803
125,Apocynaceae,Bruceholstia,543.935143170124
126,Rubiaceae,Buchozia,426.321756565643
127,Apocynaceae,Buckollia,488.8653390442382
128,Rubiaceae,Bullockia,576.6068117542633
129,Rubiaceae,Bungarimba,616.6427960066128
130,Rubiaceae,Burchellia,537.2211445342795
131,Rubiaceae,Byrsophyllum,425.195007966012
132,Apocynaceae,Caa,458.7613992760205
133,Apocynaceae,Calciphila,283.817663817664
134,Apocynaceae,Callichilia,603.6425764951244
135,Rubiaceae,Callipeltis,178.4547738241956
136,Rubiaceae,Calochone,629.662249954482
137,Apocynaceae,Calocrater,634.0311727280026
138,Gentianaceae,Calolisianthus,679.3242558267455
139,Apocynaceae,Calotropis,398.24133063559566
140,Rubiaceae,Calycophyllum,603.0187211792778
141,Rubiaceae,Calycosia,209.43546800579824
142,Rubiaceae,Calycosiphonia,565.0537825539803
143,Apocynaceae,Calyptranthera,216.717628705148
144,Apocynaceae,Cameraria,367.7021496522704
145,Apocynaceae,Campestigma,696.2422155818281
146,Apocynaceae,Camptocarpus,132.858814352574
147,Rubiaceae,Canephora,216.717628705148
148,Gentianaceae,Canscora,480.98841826412036
149,Rubiaceae,Canthium,535.0236853703723
150,Rubiaceae,Canthiumera,552.6881702538124
151,Rubiaceae,Capirona,792.1764670683074
152,Rubiaceae,Carajasia,866.082981715893
153,Apocynaceae,Caralluma,414.05995028529105
154,Rubiaceae,Carapichea,742.9684375848649
155,Apocynaceae,Carissa,441.7916735773752
156,Rubiaceae,Carpacoce,355.45306122449
157,Rubiaceae,Carphalea,216.717628705148
158,Apocynaceae,Carruthersia,252.19214119214132
159,Rubiaceae,Carterella,318.738154613466
160,Apocynaceae,Carvalhoa,622.7683729568037
161,Rubiaceae,Casasia,242.25544249775385
162,Apocynaceae,Cascabela,631.2129083292771
163,Rubiaceae,Catesbaea,237.04752214093187
164,Apocynaceae,Catharanthus,386.1372664419524
165,Rubiaceae,Catunaregam,529.2606618265033
166,Apocynaceae,Caudanthera,238.42591866231427
167,Gentianaceae,Celiantha,838.0877711784719
168,Gentianaceae,Centaurium,232.40567735280513
169,Rubiaceae,Cephalanthus,404.8403493580893
170,Rubiaceae,Ceratopyxis,271.396226415094
171,Apocynaceae,Cerbera,392.663250002717
172,Apocynaceae,Cerberiopsis,156.882352941176
173,Rubiaceae,Ceriscoides,528.6760749112841
174,Apocynaceae,Ceropegia,468.93638995643977
175,Rubiaceae,Chaetostachydium,407.423690205011
176,Rubiaceae,Chalepophyllum,838.0877711784719
177,Apocynaceae,Chamaeclitandra,578.471571006751
178,Rubiaceae,Chamaepentas,633.9907726911008
179,Rubiaceae,Chapelieria,216.717628705148
180,Rubiaceae,Chassalia,527.5771122016762
181,Gentianaceae,Chelonanthus,740.34234846145
182,Apocynaceae,Chilocarpus,542.6812063649302
183,Rubiaceae,Chimarrhis,641.0431322929206
184,Rubiaceae,Chiococca,520.9540133119579
185,Rubiaceae,Chione,503.75188398227317
186,Gentianaceae,Chironia,552.12795059594
187,Apocynaceae,Chlorocyathus,530.196700135623
188,Apocynaceae,Chloropetalum,710.5966174565605
189,Rubiaceae,Chomelia,602.5968569559835
190,Apocynaceae,Chonemorpha,500.95190358047694
191,Gentianaceae,Chorisepalum,850.3233802455734
192,Apocynaceae,Chthamalia,356.7775318690072
193,Apocynaceae,Cibirhiza,396.8822356340264
194,Gentianaceae,Cicendia,255.9938552917177
195,Rubiaceae,Ciliosemina,757.2912626334075
196,Rubiaceae,Cinchona,700.706252135903
197,Rubiaceae,Cinchonopsis,757.3437079213892
198,Apocynaceae,Cionura,216.0216948657573
199,Rubiaceae,Cladoceras,581.6623711522267
200,Rubiaceae,Clarkella,488.8911318576709
201,Apocynaceae,Cleghornia,609.8445973753599
202,Apocynaceae,Clitandra,594.6564316860154
203,Rubiaceae,Coccochondra,747.619662363456
204,Rubiaceae,Coccocypselum,568.6772462584529
205,Rubiaceae,Coddia,557.7806090582648
206,Rubiaceae,Coelopyrena,261.148936170213
207,Rubiaceae,Coelospermum,443.0571327378556
208,Rubiaceae,Coffea,524.1000172502173
209,Rubiaceae,Colletoecema,579.1806472951914
210,Gentianaceae,Comastoma,228.8472130353788
211,Rubiaceae,Condaminea,741.4185824090978
212,Apocynaceae,Condylocarpon,677.5093700523731
213,Gentianaceae,Congolanthus,612.4200771241566
214,Apocynaceae,Conomitra,327.79856294518
215,Rubiaceae,Conostomium,477.185855665445
216,Rubiaceae,Coprosma,248.02067270893997
217,Rubiaceae,Coptophyllum,651.6238299770993
218,Rubiaceae,Coptosapelta,566.1734406867405
219,Rubiaceae,Coptosperma,447.44339356398916
220,Rubiaceae,Cordiera,721.3359210031022
221,Apocynaceae,Cordylogyne,435.6180803846534
222,Rubiaceae,Cordylostigma,523.4235806741349
223,Rubiaceae,Corynanthe,601.2380283946034
224,Rubiaceae,Coryphothamnus,747.619662363456
225,Rubiaceae,Cosmibuena,703.0944950262406
226,Rubiaceae,Cosmocalyx,527.0014337802015
227,Apocynaceae,Cosmostigma,519.4046977258666
228,Apocynaceae,Couma,714.8567637108505
229,Rubiaceae,Coussarea,649.4438872320247
230,Rubiaceae,Coutaportla,488.9018304529449
231,Rubiaceae,Coutarea,639.9217585124039
232,Rubiaceae,Coutareopsis,711.8550264550261
233,Gentianaceae,Coutoubea,694.2131559832862
234,Rubiaceae,Cowiea,518.7637362637365
235,Gentianaceae,Cracosna,637.821583010079
236,Apocynaceae,Craspidospermum,216.717628705148
237,Rubiaceae,Craterispermum,543.3779519024112
238,Gentianaceae,Crawfurdia,508.15112773680306
239,Rubiaceae,Cremaspora,533.0872287641093
240,Apocynaceae,Crioceras,638.3514467592594
241,Apocynaceae,Cristobalia,448.18938114354626
242,Rubiaceae,Crobylanthe,618.769230769231
243,Rubiaceae,Crossopteryx,554.1385145989387
244,Rubiaceae,Crucianella,199.08679487186137
245,Rubiaceae,Cruciata,222.9800600374951
246,Rubiaceae,Cruckshanksia,179.793296329951
247,Rubiaceae,Crusea,496.59015062763564
248,Apocynaceae,Cryptolepis,513.373837043316
249,Apocynaceae,Cryptostegia,216.717628705148
250,Rubiaceae,Cubanola,247.48382749326151
251,Gentianaceae,Curtia,643.9846121211851
252,Rubiaceae,Cuviera,578.783779874098
253,Rubiaceae,Cyanoneuron,504.46984265734295
254,Apocynaceae,Cycladenia,275.84479374821603
255,Apocynaceae,Cyclocotyla,584.8977336064947
256,Rubiaceae,Cyclophyllum,217.6524049785563
257,Apocynaceae,Cylindropsis,597.4520256309637
258,Rubiaceae,Cynanchica,217.2851582374263
259,Apocynaceae,Cynanchum,376.5205823583929
260,Gentianaceae,Cyrtophyllum,536.3594493309362
261,Apocynaceae,Dalzielia,589.4283173587987
262,Rubiaceae,Damnacanthus,449.59578047628685
263,Rubiaceae,Danais,235.95018081525552
264,Rubiaceae,Debia,509.87385474062376
265,Apocynaceae,Decalepis,547.8065682287597
266,Apocynaceae,Decanema,216.717628705148
267,Rubiaceae,Deccania,419.018587360595
268,Rubiaceae,Declieuxia,660.4930278679836
269,Gentianaceae,Deianira,699.4856842115638
270,Rubiaceae,Dendrosipanea,787.5820867523286
271,Rubiaceae,Denscantia,679.8694770705849
272,Rubiaceae,Dentella,441.21064490846476
273,Rubiaceae,Deppea,533.4638527280732
274,Apocynaceae,Desmidorchis,325.1837892308654
275,Apocynaceae,Dewevrella,605.238838770208
276,Rubiaceae,Diacrodon,585.264757451783
277,Rubiaceae,Diadorimia,774.474196689387
278,Rubiaceae,Dialypetalanthus,695.1001911785622
279,Rubiaceae,Dibrachionostylus,582.335889570552
280,Rubiaceae,Dibridsonia,562.2401522866916
281,Rubiaceae,Dichilanthe,525.07032967033
282,Apocynaceae,Dictyanthus,476.9097241076006
283,Apocynaceae,Dictyophleba,608.6890140178331
284,Rubiaceae,Didymaea,540.7874289128624
285,Rubiaceae,Didymochlamys,739.1525339857884
286,Rubiaceae,Didymopogon,663.690763052209
287,Rubiaceae,Didymosalpinx,590.8248173450808
288,Rubiaceae,Dimetia,555.4200925810104
289,Rubiaceae,Diodia,424.5531731340942
290,Rubiaceae,Dioecrescis,582.9830226404722
291,Rubiaceae,Dioicodendron,706.7814863395305
292,Apocynaceae,Diplolepis,168.691439077994
293,Apocynaceae,Diplorhynchus,561.2472721392086
294,Rubiaceae,Diplospora,482.5707374055544
295,Rubiaceae,Dirichletia,497.6351253956348
296,Apocynaceae,Dischidanthus,565.048566165826
297,Apocynaceae,Dischidia,460.6531466844741
298,Rubiaceae,Discospermum,545.1419387594774
299,Apocynaceae,Ditassa,689.72555282162
300,Rubiaceae,Ditrichanthus,709.3469744190417
301,Rubiaceae,Diyaminauclea,431.371428571429
302,Gentianaceae,Djaloniella,565.434181013894
303,Rubiaceae,Dolianthus,407.423690205011
304,Rubiaceae,Dolichocarpa,296.29498214116103
305,Rubiaceae,Dolichodelphys,730.0933328627862
306,Rubiaceae,Dolicholobium,259.29629285023543
307,Rubiaceae,Dolichometra,622.083094555874
308,Rubiaceae,Dolichopentas,584.0218231835478
309,Apocynaceae,Dolichopetalum,434.6177699835995
310,Rubiaceae,Donnellyanthus,524.206019940866
311,Rubiaceae,Duidania,824.0901659097615
312,Rubiaceae,Dunnia,407.752240717029
313,Rubiaceae,Duperrea,568.5883627873376
314,Gentianaceae,Duplipetala,686.864212633452
315,Rubiaceae,Duroia,768.7167463696917
316,Rubiaceae,Durringtonia,347.82064819655
317,Apocynaceae,Duvalia,445.03331172881155
318,Apocynaceae,Duvaliandra,106.666666666667
319,Apocynaceae,Dyera,664.047104772086
320,Apocynaceae,Echidnopsis,324.09185748842236
321,Apocynaceae,Echites,430.8712827909479
322,Apocynaceae,Ectadium,361.293420244352
323,Apocynaceae,Ecua,261.148936170213
324,Apocynaceae,Edithcolea,399.03504689160445
325,Rubiaceae,Edrastima,455.10806737640445
326,Rubiaceae,Eizia,520.073696289685
327,Rubiaceae,Elaeagia,670.6516697732994
328,Rubiaceae,Eleuthranthes,254.085121602289
329,Apocynaceae,Elytropus,159.16673065741864
330,Apocynaceae,Emicocarpus,540.568129330254
331,Rubiaceae,Emmenopterys,441.78021155681995
332,Rubiaceae,Emmeorhiza,712.9322304325543
333,Apocynaceae,Emplectanthus,470.85633830455254
334,Rubiaceae,Empogona,571.12330474448
335,Gentianaceae,Enicostema,481.4530237954329
336,Rubiaceae,Eosanthe,271.396226415094
337,Apocynaceae,Ephippiocarpa,508.18212577210176
338,Apocynaceae,Epigynum,620.9505133667903
339,Apocynaceae,Epistemma,642.6274532824859
340,Rubiaceae,Eriosemopsis,470.85633830455254
341,Rubiaceae,Erithalis,448.86199504961525
342,Rubiaceae,Ernodea,347.6825599227401
343,Rubiaceae,Etericius,900.560669456067
344,Rubiaceae,Euclinia,572.2988434042041
345,Apocynaceae,Eucorymbia,686.38249794048
346,Rubiaceae,Eumachia,526.1993658064893
347,Apocynaceae,Eustegia,355.45306122449
348,Gentianaceae,Eustoma,354.7317632007029
349,Rubiaceae,Everistia,347.82064819655
350,Gentianaceae,Exaculum,197.43351060015428
351,Gentianaceae,Exacum,479.5489893855289
352,Rubiaceae,Exallage,444.0951260907734
353,Rubiaceae,Exallosperma,216.717628705148
354,Gentianaceae,Exochaenium,546.5159661980209
355,Rubiaceae,Exostema,459.11257093791903
356,Rubiaceae,Fadogia,555.0464125593364
357,Rubiaceae,Fadogiella,611.9086524243164
358,Gentianaceae,Fagraea,428.6170714033779
359,Apocynaceae,Fanninia,448.58008760533403
360,Rubiaceae,Faramea,568.7697756645607
361,Gentianaceae,Faroa,552.3694008965826
362,Apocynaceae,Farquharia,593.5849162958625
363,Rubiaceae,Ferdinandusa,751.5951651494722
364,Rubiaceae,Feretia,507.60468005098573
365,Rubiaceae,Fergusonia,425.195007966012
366,Rubiaceae,Fernelia,52.5
367,Apocynaceae,Finlaysonia,476.18619747026565
368,Apocynaceae,Fischeria,589.3090485142177
369,Rubiaceae,Flagenium,216.717628705148
370,Rubiaceae,Flexanthera,749.043616177637
371,Apocynaceae,Fockea,548.6050325846762
372,Rubiaceae,Foonchewia,407.752240717029
373,Apocynaceae,Forsteronia,600.2112557179627
374,Rubiaceae,Fosbergia,576.6514640382796
375,Gentianaceae,Frasera,266.8710539842515
376,Apocynaceae,Funastrum,486.4180736616324
377,Apocynaceae,Funtumia,572.7004548671661
378,Rubiaceae,Gaertnera,514.0383785781584
379,Apocynaceae,Galactophora,755.3514494911697
380,Rubiaceae,Galianthe,621.1992445012045
381,Rubiaceae,Galiniera,569.8200034203825
382,Rubiaceae,Galium,306.96633246641403
383,Rubiaceae,Gallienia,216.717628705148
384,Rubiaceae,Galopina,532.0056458610001
385,Rubiaceae,Ganguelia,495.165462427746
386,Rubiaceae,Gardenia,479.72408950372966
387,Rubiaceae,Gardeniopsis,664.047104772086
388,Loganiaceae,Gardneria,484.6051795985057
389,Apocynaceae,Geissospermum,769.4431419004994
390,Gelsemiaceae,Gelsemium,457.0625348300094
391,Apocynaceae,Genianthus,543.1860767082615
392,Gentianaceae,Geniostemon,340.612836438923
393,Loganiaceae,Geniostoma,260.61645157347124
394,Rubiaceae,Genipa,598.0098105049766
395,Gentianaceae,Gentiana,294.5997446699921
396,Gentianaceae,Gentianella,252.57542602770698
397,Gentianaceae,Gentianopsis,241.61648084929257
398,Gentianaceae,Gentianothamnus,216.717628705148
399,Rubiaceae,Geophila,524.9385358154135
400,Rubiaceae,Gillespiea,111.818181818182
401,Rubiaceae,Gleasonia,838.0877711784719
402,Rubiaceae,Glionnetia,
403,Rubiaceae,Globulostylis,614.4466706197949
404,Apocynaceae,Glossostelma,632.6592940152169
405,Rubiaceae,Glossostipula,471.21010298150003
406,Rubiaceae,Gomphocalyx,216.717628705148
407,Apocynaceae,Gomphocarpus,470.01205036392275
408,Apocynaceae,Gongreos,568.4386675878574
409,Apocynaceae,Gongronema,520.3708276712644
410,Apocynaceae,Gongronemopsis,538.5027410277438
411,Apocynaceae,Gonioma,450.0154710654053
412,Apocynaceae,Goniostemma,535.1896437865148
413,Apocynaceae,Gonolobus,442.49990853571956
414,Rubiaceae,Gonzalagunia,585.4212699627734
415,Apocynaceae,Graciemoriana,926.247311827957
416,Rubiaceae,Greenea,682.2338225813736
417,Rubiaceae,Greeniopsis,418.758241758242
418,Rubiaceae,Guettarda,475.9582828428725
419,Rubiaceae,Guettardella,365.3115345162547
420,Rubiaceae,Guihaiothamnus,407.752240717029
421,Apocynaceae,Gymnanthera,489.27241990154556
422,Apocynaceae,Gymnema,479.27012372932523
423,Apocynaceae,Gymnemopsis,634.2355464323346
424,Rubiaceae,Gynochthodes,382.98313736091796
425,Gentianaceae,Gyrandra,520.8999555321549
426,Apocynaceae,Gyrostelma,759.2323708697215
427,Rubiaceae,Gyrostipula,216.717628705148
428,Rubiaceae,Habroneuron,489.298342541436
429,Gentianaceae,Halenia,319.77259657420586
430,Rubiaceae,Hamelia,531.5655989963944
431,Apocynaceae,Hancornia,678.2132484574904
432,Apocynaceae,Haplophyton,380.78033346058226
433,Apocynaceae,Harmandiella,663.1751188101867
434,Rubiaceae,Hedstromia,111.818181818182
435,Rubiaceae,Hedyotis,506.5733094113248
436,Rubiaceae,Hedythyrsus,645.5966564935594
437,Rubiaceae,Heinsenia,605.0553913860831
438,Rubiaceae,Heinsia,575.9432151060639
439,Rubiaceae,Hekistocarpa,569.824842352547
440,Gentianaceae,Helia,660.8379011891197
441,Rubiaceae,Helictosperma,216.717628705148
442,Apocynaceae,Hemidesmus,565.8729700783789
443,Apocynaceae,Hemipogon,678.2132484574904
444,Rubiaceae,Henriquezia,815.8267324282632
445,Rubiaceae,Heterophyllaea,517.1211637824034
446,Apocynaceae,Heterostemma,453.9214575059481
447,Rubiaceae,Hexaphylla,217.60212395113638
448,Rubiaceae,Hexasepalum,455.0313217900638
449,Apocynaceae,Heynella,547.347826086957
450,Rubiaceae,Hillia,584.4400420158889
451,Rubiaceae,Himalrandia,435.7270656226976
452,Apocynaceae,Himatanthus,767.0477180296107
453,Rubiaceae,Hindsia,657.768826085642
454,Rubiaceae,Hintonia,492.5958532071138
455,Rubiaceae,Hippotis,708.711872269605
456,Gentianaceae,Hockinia,774.474196689387
457,Rubiaceae,Hodgkinsonia,347.82064819655
458,Rubiaceae,Hoffmannia,571.5773993332315
459,Apocynaceae,Holarrhena,547.9990569625752
460,Rubiaceae,Holstianthus,747.619662363456
461,Rubiaceae,Homollea,216.717628705148
462,Apocynaceae,Hoodia,465.9400749846053
463,Gentianaceae,Hoppea,504.4772734178916
464,Rubiaceae,Houstonia,272.69576299042825
465,Apocynaceae,Hoya,409.39008916010806
466,Apocynaceae,Huernia,464.7466602811692
467,Apocynaceae,Hunteria,566.8155699648933
468,Rubiaceae,Hutchinsonia,592.6509872203724
469,Rubiaceae,Hydnophytum,454.60367678108804
470,Rubiaceae,Hydrophylax,473.62696606896276
471,Apocynaceae,Hylaea,806.8513220396744
472,Rubiaceae,Hymenocoleus,563.435644178651
473,Rubiaceae,Hymenodictyon,529.3391566939434
474,Rubiaceae,Hyperacanthus,509.05732615067666
475,Rubiaceae,Hypobathrum,554.5605480535397
476,Apocynaceae,Hypolobus,585.264757451783
477,Rubiaceae,Hyptianthera,530.9282587429551
478,Apocynaceae,Ibatia,559.6135238816946
479,Apocynaceae,Ichnocarpus,466.0502293279647
480,Rubiaceae,Involucrella,552.136237592354
481,Gentianaceae,Irlbachia,770.762742224036
482,Apocynaceae,Ischnolepis,386.143435104751
483,Rubiaceae,Isertia,687.3769439354866
484,Rubiaceae,Isidorea,242.60255166217436
485,Apocynaceae,Isonema,578.7882172060449
486,Gentianaceae,Ixanthus,112.333333333333
487,Apocynaceae,Ixodonerium,671.430167597765
488,Rubiaceae,Ixora,500.4919391171285
489,Rubiaceae,Jackiopsis,686.38249794048
490,Gentianaceae,Jaeschkea,340.7168557452405
491,Rubiaceae,Jamaicanthus,227.4
492,Rubiaceae,Janotia,216.717628705148
493,Apocynaceae,Jasminanthes,544.7791357512873
494,Apocynaceae,Jobinia,583.9955842425642
495,Rubiaceae,Joosia,718.8871518966571
496,Rubiaceae,Jovetia,216.717628705148
497,Rubiaceae,Kadua,66.0
498,Rubiaceae,Kailarsenia,659.2416427334035
499,Rubiaceae,Kajewskiella,226.0
500,Apocynaceae,Kamettia,508.0297563137495
501,Apocynaceae,Kanahia,488.4869806650199
502,Rubiaceae,Kanapia,404.4643481518485
503,Gentianaceae,Karina,573.439953810624
504,Rubiaceae,Keetia,568.3672256299022
505,Rubiaceae,Kelloggia,300.3211137510345
506,Apocynaceae,Kerbera,774.474196689387
507,Rubiaceae,Kerianthera,820.27858920264
508,Rubiaceae,Khasiaclunea,642.0224106198233
509,Apocynaceae,Kibatalia,590.974413625671
510,Rubiaceae,Kindia,520.189591078067
511,Gentianaceae,Klackenbergia,216.717628705148
512,Rubiaceae,Klossia,776.6875
513,Rubiaceae,Knoxia,525.6434889967084
514,Rubiaceae,Kochummenia,776.6875
515,Rubiaceae,Kohautia,437.7341347339127
516,Apocynaceae,Kopsia,468.8090044834611
517,Rubiaceae,Kraussia,520.7264710051393
518,Gentianaceae,Kuepferia,450.2442620395138
519,Rubiaceae,Kupeantha,670.7477635562896
520,Rubiaceae,Kutchubaea,774.7797865787506
521,Apocynaceae,Lachnostoma,730.0933328627862
522,Apocynaceae,Lacmellea,719.7873867285028
523,Rubiaceae,Ladenbergia,756.0638865744418
524,Gentianaceae,Lagenanthus,748.3316392705465
525,Gentianaceae,Lagenias,355.45306122449
526,Rubiaceae,Lamprothamnus,496.07888264803006
527,Rubiaceae,Landiopsis,216.717628705148
528,Apocynaceae,Landolphia,542.254957242585
529,Apocynaceae,Larryleachia,361.293420244352
530,Rubiaceae,Larsenaikia,317.39991241059704
531,Rubiaceae,Lasianthus,513.4710849721041
532,Rubiaceae,Lathraeocarpa,216.717628705148
533,Gentianaceae,Latouchea,434.6177699835995
534,Apocynaceae,Laubertia,588.305776832016
535,Apocynaceae,Lavrania,367.133779264214
536,Apocynaceae,Laxoplumeria,759.487270688493
537,Rubiaceae,Lecananthus,686.38249794048
538,Rubiaceae,Lecariocalyx,618.769230769231
539,Gentianaceae,Lehmanniella,707.836093803104
540,Apocynaceae,Leichhardtia,288.4157859705712
541,Rubiaceae,Lelya,598.1685404028581
542,Rubiaceae,Lemyrea,216.717628705148
543,Rubiaceae,Lepidostoma,663.690763052209
544,Apocynaceae,Lepinia,232.47456340167034
545,Apocynaceae,Lepiniopsis,346.9852645357842
546,Rubiaceae,Leptactina,571.6508544382945
547,Apocynaceae,Leptadenia,365.25951461028376
548,Rubiaceae,Leptodermis,398.834294308713
549,Rubiaceae,Leptomischus,547.3119470983839
550,Rubiaceae,Leptopetalum,404.1298297918421
551,Rubiaceae,Leptoscela,585.264757451783
552,Rubiaceae,Leptostigma,352.2799669930634
553,Rubiaceae,Lerchea,585.9880139967752
554,Rubiaceae,Leucocodon,431.371428571429
555,Rubiaceae,Leucolophus,720.1891315261046
556,Apocynaceae,Leuconotis,664.047104772086
557,Gentianaceae,Limahlania,665.5237173372218
558,Rubiaceae,Limnosipanea,718.5429556546627
559,Rubiaceae,Lintersemina,749.043616177637
560,Gentianaceae,Lisianthius,483.28630672968455
561,Loganiaceae,Logania,272.02653287039
562,Gentianaceae,Lomatogoniopsis,328.5360730938505
563,Gentianaceae,Lomatogonium,244.03378003215985
564,Rubiaceae,Luculia,526.5588495918558
565,Rubiaceae,Lucya,232.2015309973046
566,Rubiaceae,Ludekia,518.7637362637365
567,Apocynaceae,Lygisma,614.5928753483965
568,Rubiaceae,Macbrideina,696.5719423335491
569,Rubiaceae,Machaonia,545.4553908394006
