,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,native_tdwg3_codes,intro_tdwg3_codes
10,34103-1,Adina,Adina Salisb.,Rubiaceae,Genus,,,,,3234,34103-1,Genus,Accepted,Rubiaceae,,Adina,,,,,,Salisb.,,Parad. Lond., 2: t. 115,(1808),,Trop. & Subtrop. Asia,,,Adina,Salisb.,3234,,,,,34103-1,,Y,,,,"('ASS', 'BAN', 'BOR', 'CBD', 'CHC', 'CHH', 'CHN', 'CHS', 'EHM', 'IND', 'JAP', 'JAW', 'KOR', 'LAO', 'MLY', 'MOL', 'MYA', 'NEP', 'NNS', 'NWG', 'PHI', 'SRL', 'SUL', 'SUM', 'TAI', 'THA', 'VIE')",
11,77187867-1,Adolphoduckea,Adolphoduckea Paudyal & Delprete,Rubiaceae,Genus,,,,,529505,77187867-1,Genus,Accepted,Rubiaceae,,Adolphoduckea,,,,,,Paudyal & Delprete,,Bot. J. Linn. Soc., 187: 384,(2018),,W. South America to N. Brazil,,,Adolphoduckea,Paudyal & Delprete,529505,,,,,77187867-1,,Y,,,,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')",
12,77062247-1,Afrocanthium,Afrocanthium (Bridson) Lantz & B.Bremer,Rubiaceae,Genus,,,,,216314,77062247-1,Genus,Accepted,Rubiaceae,,Afrocanthium,,,,,Bridson,Lantz & B.Bremer,,Bot. J. Linn. Soc., 146: 278,(2004),,Ethiopia to S. Africa,,,Afrocanthium,(Bridson) Lantz & B.Bremer,216314,,,,,77062247-1,,Y,,,,"('ANG', 'BOT', 'BUR', 'CPP', 'ETH', 'KEN', 'MLW', 'MOZ', 'NAT', 'RWA', 'SOM', 'SUD', 'SWZ', 'TAN', 'TVL', 'UGA', 'ZAI', 'ZAM', 'ZIM')","('STH',)"
13,2176-1,Aganosma,Aganosma (Blume) G.Don,Apocynaceae,Genus,,,,,4397,2176-1,Genus,Accepted,Apocynaceae,,Aganosma,,,,,Blume,G.Don,,Gen. Hist., 4: 77,(1837),,S. China to W. Malesia,,,Aganosma,(Blume) G.Don,4397,,,,,2176-1,,Y,,,,"('ASS', 'BAN', 'CBD', 'CHC', 'CHH', 'CHS', 'EHM', 'IND', 'JAW', 'LAO', 'MLY', 'MYA', 'SRL', 'SUM', 'TAI', 'THA', 'VIE')",
14,34107-1,Agathisanthemum,Agathisanthemum Klotzsch,Rubiaceae,Genus,,,,,4548,34107-1,Genus,Accepted,Rubiaceae,,Agathisanthemum,,,,,,Klotzsch,W.C.H.Peters,Naturw. Reise Mossambique," 6(Bot., 1): 294",(1861),,"Trop. & S. Africa, Comoros, Madagascar",,,Agathisanthemum,Klotzsch,4548,,,,,34107-1,,Y,,,,"('ANG', 'BUR', 'COM', 'CON', 'ETH', 'GAB', 'KEN', 'MDG', 'MLW', 'MOZ', 'NAT', 'RWA', 'SOM', 'SWZ', 'TAN', 'TVL', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
15,327793-2,Agouticarpa,Agouticarpa C.H.Perss.,Rubiaceae,Genus,,,,,216332,327793-2,Genus,Accepted,Rubiaceae,,Agouticarpa,,,,,,C.H.Perss.,,Brittonia, 55: 180,(2003),,Costa Rica to S. Trop. America,,,Agouticarpa,C.H.Perss.,216332,,,,,327793-2,,Y,,,,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'PAN', 'PER')",
16,327845-2,Aidia,Aidia Lour.,Rubiaceae,Genus,,,,,4993,327845-2,Genus,Accepted,Rubiaceae,,Aidia,,,,,,Lour.,,Fl. Cochinch.,: 143,(1790),,"Trop. Africa, Trop. & Subtrop. Asia to W. Pacific",,,Aidia,Lour.,4993,,,,,327845-2,,Y,,,,"('AND', 'ANG', 'ASS', 'BAN', 'BEN', 'BOR', 'BUR', 'CAB', 'CAF', 'CBD', 'CHC', 'CHH', 'CHS', 'CMN', 'CON', 'CRL', 'FIJ', 'GAB', 'GGI', 'GIL', 'GNB', 'GUI', 'IND', 'IVO', 'JAP', 'JAW', 'LBR', 'LSI', 'MLW', 'MLY', 'MOL', 'MOZ', 'MRN', 'MRS', 'MYA', 'NCB', 'NNS', 'NRU', 'NTA', 'NWC', 'NWG', 'PHI', 'QLD', 'SAM', 'SEN', 'SIE', 'SOL', 'SRL', 'SUD', 'SUL', 'SUM', 'TAI', 'TAN', 'THA', 'TOG', 'TON', 'UGA', 'VAN', 'VIE', 'WAL', 'WAU', 'XMS', 'ZAI', 'ZAM', 'ZIM')",
17,925011-1,Aidiopsis,Aidiopsis Tirveng.,Rubiaceae,Genus,,,,,5083,925011-1,Genus,Accepted,Rubiaceae,,Aidiopsis,,,,,,Tirveng.,,"Bull. Mus. Natl. Hist. Nat., B, Adansonia", 8: 287,(1986),,Andaman Is. to W. Malesia,,,Aidiopsis,Tirveng.,5083,,,,,925011-1,,Y,,,,"('AND', 'JAW', 'MLY', 'SUM', 'THA')",
18,34110-1,Airosperma,Airosperma K.Schum. & Lauterb.,Rubiaceae,Genus,,,,,5141,34110-1,Genus,Accepted,Rubiaceae,,Airosperma,,,,,,K.Schum. & Lauterb.,,Fl. Schutzgeb. Südsee,: 565,(1900),,"New Guinea, Fiji",,,Airosperma,K.Schum. & Lauterb.,5141,,,,,34110-1,,Y,,,,"('FIJ', 'NWG')",
19,34111-1,Aitchisonia,Aitchisonia Hemsl. ex Aitch.,Rubiaceae,Genus,,,,,5148,34111-1,Genus,Accepted,Rubiaceae,,Aitchisonia,,,,,,Hemsl. ex Aitch.,,"J. Linn. Soc., Bot.", 19: 166,(1882),,SC. Iran to Pakistan,,,Aitchisonia,Hemsl. ex Aitch.,5148,,,,,34111-1,,Y,,,,"('AFG', 'IRN', 'PAK')",
20,2180-1,Alafia,Alafia Thouars,Apocynaceae,Genus,,,,,5462,2180-1,Genus,Accepted,Apocynaceae,,Alafia,,,,,,Thouars,,Gen. Nov. Madagasc.,: 11,(1806),,"Trop. Africa, Madagascar",,,Alafia,Thouars,5462,,,,,2180-1,,Y,,,,"('ANG', 'BEN', 'BKN', 'CAB', 'CAF', 'CMN', 'CON', 'EGY', 'EQG', 'GAB', 'GAM', 'GGI', 'GHA', 'GNB', 'GUI', 'IVO', 'KEN', 'LBR', 'MDG', 'MOZ', 'NGA', 'RWA', 'SEN', 'SIE', 'SUD', 'TAN', 'TOG', 'UGA', 'ZAI', 'ZAM', 'ZIM')",
21,34112-1,Alberta,Alberta E.Mey.,Rubiaceae,Genus,,,,,5672,34112-1,Genus,Accepted,Rubiaceae,,Alberta,,,,,,E.Mey.,,Linnaea, 12: 258,(1838),,S. Africa,,,Alberta,E.Mey.,5672,,,,,34112-1,,Y,,,,"('NAT',)",
22,34113-1,Aleisanthia,Aleisanthia Ridl.,Rubiaceae,Genus,,,,,5911,34113-1,Genus,Accepted,Rubiaceae,,Aleisanthia,,,,,,Ridl.,,J. Fed. Malay States Mus., 10: 138,(1920),,Pen. Malaysia,,,Aleisanthia,Ridl.,5911,,,,,34113-1,,Y,,,,"('MLY',)",
23,995636-1,Aleisanthiopsis,Aleisanthiopsis Tange,Rubiaceae,Genus,,,,,5914,995636-1,Genus,Accepted,Rubiaceae,,Aleisanthiopsis,,,,,,Tange,,Nordic J. Bot., 16: 571,(1996 publ. 1997),,Borneo,,,Aleisanthiopsis,Tange,5914,,,,,995636-1,,Y,,,,"('BOR',)",
24,30011980-2,Alibertia,Alibertia A.Rich. ex DC.,Rubiaceae,Genus,,,,,6004,30011980-2,Genus,Accepted,Rubiaceae,,Alibertia,,,,,,A.Rich. ex DC.,,Prodr., 4: 443,(1830),,S. Mexico to Trop. America,,,Alibertia,A.Rich. ex DC.,6004,,,,,30011980-2,,Y,,,,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'ELS', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'SWC', 'TRT', 'VEN', 'WIN')",
25,2182-1,Allamanda,Allamanda L.,Apocynaceae,Genus,,,,,6151,2182-1,Genus,Accepted,Apocynaceae,,Allamanda,,,,,,L.,,Mant. Pl., 2: 146,(1771),,Trop. America,,,Allamanda,L.,6151,,,,,2182-1,,Y,,,,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'FRG', 'GUY', 'HON', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')","('AND', 'ANG', 'BAN', 'BLZ', 'CHH', 'CHS', 'COM', 'COO', 'CRL', 'EHM', 'ELS', 'GAB', 'GAL', 'GGI', 'GIL', 'GUA', 'IND', 'JAW', 'MDG', 'MLY', 'MRN', 'MRS', 'MXC', 'MXS', 'MXT', 'PUE', 'SAM', 'SCI', 'TAI', 'TAN', 'THA', 'TRT', 'VAN', 'ZIM')"
26,34118-1,Alleizettella,Alleizettella Pit.,Rubiaceae,Genus,,,,,6190,34118-1,Genus,Accepted,Rubiaceae,,Alleizettella,,,,,,Pit.,H.Lecomte,Fl. Indo-Chine, 3: 278,(1923),,SE. China to N. Vietnam,,,Alleizettella,Pit.,6190,,,,,34118-1,,Y,,,,"('CHH', 'CHS', 'VIE')",
27,2183-1,Allomarkgrafia,Allomarkgrafia Woodson,Apocynaceae,Genus,,,,,6205,2183-1,Genus,Accepted,Apocynaceae,,Allomarkgrafia,,,,,,Woodson,,Ann. Missouri Bot. Gard., 19: 45,(1932),,C. America to Peru,,,Allomarkgrafia,Woodson,6205,,,,,2183-1,,Y,,,,"('CLM', 'COS', 'ECU', 'HON', 'NIC', 'PAN', 'PER')",
28,2184-1,Allowoodsonia,Allowoodsonia Markgr.,Apocynaceae,Genus,,,,,6228,2184-1,Genus,Accepted,Apocynaceae,,Allowoodsonia,,,,,,Markgr.,,Gard. Bull. Singapore, 22: 23,(1967),,Solomon Is.,,,Allowoodsonia,Markgr.,6228,,,,,2184-1,,Y,,,,"('SOL',)",
29,34120-1,Alseis,Alseis Schott,Rubiaceae,Genus,,,,,6967,34120-1,Genus,Accepted,Rubiaceae,,Alseis,,,,,,Schott,K.Sprengel,Syst. Veg., 4(2): 404,(1827),,S. Mexico to S. Trop. America,,,Alseis,Schott,6967,,,,,34120-1,,Y,,,,"('BLZ', 'BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')",
30,331333-2,Alstonia,Alstonia R.Br.,Apocynaceae,Genus,,,,,6994,331333-2,Genus,Accepted,Apocynaceae,,Alstonia,,,,,,R.Br.,,Asclepiadeae,: 64,(1810),", nom. cons.","Mexico to C. America, Trop. Africa to S. Pacific",,,Alstonia,R.Br.,6994,,,,,331333-2,,Y,,,,"('AND', 'ASS', 'BAN', 'BEN', 'BIS', 'BKN', 'BOR', 'CAB', 'CAF', 'CBD', 'CHC', 'CHH', 'CHS', 'CMN', 'CON', 'COO', 'COS', 'EHM', 'ELS', 'EQG', 'ETH', 'FIJ', 'GAB', 'GAM', 'GHA', 'GNB', 'GUA', 'GUI', 'HON', 'IND', 'IVO', 'JAW', 'LAO', 'LBR', 'LDV', 'LSI', 'MLY', 'MOL', 'MRQ', 'MXC', 'MXG', 'MXS', 'MXT', 'MYA', 'NCB', 'NEP', 'NGA', 'NIC', 'NSW', 'NTA', 'NWC', 'NWG', 'PAK', 'PAN', 'PHI', 'QLD', 'SAM', 'SCI', 'SCZ', 'SEN', 'SIE', 'SOL', 'SRL', 'SUD', 'SUL', 'SUM', 'TAN', 'THA', 'TOG', 'TON', 'UGA', 'VAN', 'VIE', 'WAU', 'WHM', 'ZAI')","('CRL', 'TRT')"
31,331334-2,Alyxia,Alyxia R.Br.,Apocynaceae,Genus,,,,,7192,331334-2,Genus,Accepted,Apocynaceae,,Alyxia,,,,,,R.Br.,,Prodr. Fl. Nov. Holland.,: 469,(1810),", nom. cons.",Trop. & Subtrop. Asia to Pacific,,,Alyxia,R.Br.,7192,,,,,331334-2,,Y,,,,"('AND', 'ASS', 'BAN', 'BIS', 'BOR', 'CBD', 'CHC', 'CHH', 'CHS', 'CHT', 'COO', 'CRL', 'EHM', 'FIJ', 'HAW', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MRN', 'MRQ', 'MYA', 'NCB', 'NFK', 'NSW', 'NTA', 'NUE', 'NWC', 'NWG', 'PHI', 'PIT', 'QLD', 'SAM', 'SCI', 'SOA', 'SOL', 'SUL', 'SUM', 'TAI', 'TAS', 'THA', 'TON', 'TUA', 'TUB', 'VAN', 'VIC', 'VIE', 'WAL', 'WAU')",
32,34121-1,Amaioua,Amaioua Aubl.,Rubiaceae,Genus,,,,,7490,34121-1,Genus,Accepted,Rubiaceae,,Amaioua,,,,,,Aubl.,,Hist. Pl. Guiane,", Suppl.: 13",(1775),,Mexico to Trop. America,,,Amaioua,Aubl.,7490,,,,,34121-1,,Y,,,,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')",
33,2188-1,Amalocalyx,Amalocalyx Pierre,Apocynaceae,Genus,,,,,7545,2188-1,Genus,Accepted,Apocynaceae,,Amalocalyx,,,,,,Pierre,,Bull. Mens. Soc. Linn. Paris,", n.s., 1: 28",(1898),,S. China to Indo-China,,,Amalocalyx,Pierre,7545,,,,,2188-1,,Y,,,,"('CBD', 'CHC', 'LAO', 'MYA', 'THA', 'VIE')",
34,34123-1,Amaracarpus,Amaracarpus Blume,Rubiaceae,Genus,,,,,7602,34123-1,Genus,Accepted,Rubiaceae,,Amaracarpus,,,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 954,(1826),,"Seychelles, Andaman Is. to N. Vanuatu",,,Amaracarpus,Blume,7602,,,,,34123-1,,Y,,,,"('AND', 'BIS', 'BOR', 'JAW', 'LSI', 'MOL', 'MYA', 'NCB', 'NWG', 'PHI', 'QLD', 'SEY', 'SOL', 'SUL', 'SUM', 'THA', 'VAN', 'XMS')",
35,30003984-2,Ambelania,Ambelania Aubl.,Apocynaceae,Genus,,,,,7748,30003984-2,Genus,Accepted,Apocynaceae,,Ambelania,,,,,,Aubl.,,Hist. Pl. Guiane, 1: 265,(1775),,S. Trop. America,,,Ambelania,Aubl.,7748,,,,,30003984-2,,Y,,,,"('BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')",
36,34129-1,Amphiasma,Amphiasma Bremek.,Rubiaceae,Genus,,,,,8380,34129-1,Genus,Accepted,Rubiaceae,,Amphiasma,,,,,,Bremek.,,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk., Sect. 2",", 48(2): 168",(1952),,S. Tanzania to Namibia,,,Amphiasma,Bremek.,8380,,,,,34129-1,,Y,,,,"('ANG', 'MLW', 'NAM', 'TAN', 'ZAI', 'ZAM')",
37,296620-2,Amphidasya,Amphidasya Standl.,Rubiaceae,Genus,,,,,8390,296620-2,Genus,Accepted,Rubiaceae,,Amphidasya,,,,,,Standl.,,"Publ. Field Mus. Nat. Hist., Bot. Ser.", 11: 180,(1936),,C. & S. Trop. America,,,Amphidasya,Standl.,8390,,,,,296620-2,,Y,,,,"('BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER', 'VEN')",
38,2193-1,Amphineurion,Amphineurion (A.DC.) Pichon,Apocynaceae,Genus,,,,,8419,2193-1,Genus,Accepted,Apocynaceae,,Amphineurion,,,,,A.DC.,Pichon,,Bull. Soc. Bot. France, 95: 215,(1948),,S. China to Trop. Asia,,,Amphineurion,(A.DC.) Pichon,8419,,,,,2193-1,,Y,,,,"('AND', 'ASS', 'BAN', 'BOR', 'CBD', 'CHH', 'CHS', 'EHM', 'IND', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NCB', 'NEP', 'PHI', 'SUL', 'SUM', 'THA', 'VIE')",
39,77107060-1,Amphistemon,Amphistemon Groeninckx,Rubiaceae,Genus,,,,,462140,77107060-1,Genus,Accepted,Rubiaceae,,Amphistemon,,,,,,Groeninckx,,Bot. J. Linn. Soc., 163: 450,(2010),,Madagascar,,,Amphistemon,Groeninckx,462140,,,,,77107060-1,,Y,,,,"('MDG',)",
40,2194-1,Amsonia,Amsonia Walter,Apocynaceae,Genus,,,,,8432,2194-1,Genus,Accepted,Apocynaceae,,Amsonia,,,,,,Walter,,Fl. Carol.,: 98,(1788),,"Balkan Pen. to Temp. E. Asia, U.S.A. to Mexico",,,Amsonia,Walter,8432,,,,,2194-1,,Y,,,,"('ALA', 'ARI', 'ARK', 'CAL', 'CHS', 'COL', 'DEL', 'FLA', 'GEO', 'GRC', 'ILL', 'INI', 'IOW', 'JAP', 'KAN', 'KOR', 'KTY', 'LOU', 'MSI', 'MSO', 'MXE', 'MXN', 'NCA', 'NEV', 'NWM', 'OKL', 'PEN', 'SCA', 'TEN', 'TEX', 'TUE', 'TUR', 'UTA', 'VRG')","('ITA', 'MAS', 'NWJ', 'NWY')"
41,2198-1,Ancylobothrys,Ancylobothrys Pierre,Apocynaceae,Genus,,,,,8825,2198-1,Genus,Accepted,Apocynaceae,,Ancylobothrys,,,,,,Pierre,,Bull. Mens. Soc. Linn. Paris,", n.s., 1: 91",(1898),,Trop. & S. Africa to Madagascar,,,Ancylobothrys,Pierre,8825,,,,,2198-1,,Y,,,,"('ANG', 'BEN', 'BKN', 'BOT', 'BUR', 'CAB', 'CAF', 'CHA', 'CMN', 'COM', 'CON', 'CPP', 'EQG', 'GAB', 'GHA', 'GUI', 'IVO', 'KEN', 'LBR', 'MDG', 'MLI', 'MLW', 'MOZ', 'NAT', 'NGA', 'RWA', 'SOM', 'SUD', 'TAN', 'TOG', 'TVL', 'UGA', 'ZAI', 'ZAM', 'ZIM')","('MAU',)"
42,2200-1,Anechites,Anechites Griseb.,Apocynaceae,Genus,,,,,8998,2200-1,Genus,Accepted,Apocynaceae,,Anechites,,,,,,Griseb.,,Fl. Brit. W. I.,: 410,(1861),,"Caribbean, C. & W. South America to Venezuela",,,Anechites,Griseb.,8998,,,,,2200-1,,Y,,,,"('CLM', 'COS', 'CUB', 'DOM', 'ECU', 'HAI', 'HON', 'JAM', 'NIC', 'PAN', 'PER', 'PUE', 'VEN')",
43,77159825-1,Anemotrochus,"Anemotrochus Mangelsdorff, Meve & Liede",Apocynaceae,Genus,,,,,524736,77159825-1,Genus,Accepted,Apocynaceae,,Anemotrochus,,,,,,"Mangelsdorff, Meve & Liede",,Willdenowia, 46: 452,(2016),,Caribbean,,,Anemotrochus,"Mangelsdorff, Meve & Liede",524736,,,,,77159825-1,,Y,,,,"('BAH', 'CUB', 'DOM', 'HAI', 'JAM', 'TCI')",
44,2201-1,Angadenia,Angadenia Miers,Apocynaceae,Genus,,,,,9014,2201-1,Genus,Accepted,Apocynaceae,,Angadenia,,,,,,Miers,,Apocyn. S. Amer.,: 173,(1878),,S. Florida to Caribbean,,,Angadenia,Miers,9014,,,,,2201-1,,Y,,,,"('BAH', 'CUB', 'DOM', 'FLA', 'HAI', 'JAM', 'TCI')",
45,3194-1,Anisopus,Anisopus N.E.Br.,Apocynaceae,Genus,,,,,500610,3194-1,Genus,Accepted,Apocynaceae,,Anisopus,,,,,,N.E.Br.,,Bull. Misc. Inform. Kew, 1895: 259,(1895),,Trop. Africa,,,Anisopus,N.E.Br.,500610,,,,,3194-1,,Y,,,,"('CAB', 'CAF', 'CMN', 'EQG', 'GAB', 'GGI', 'GHA', 'GNB', 'GUI', 'IVO', 'LBR', 'MLW', 'MOZ', 'NGA', 'SEN', 'TAN', 'ZAI')",
46,3195-1,Anisotoma,Anisotoma Fenzl,Apocynaceae,Genus,,,,,500616,3195-1,Genus,Accepted,Apocynaceae,,Anisotoma,,,,,,Fenzl,,Linnaea, 17: 330,(1843),,S. Africa,,,Anisotoma,Fenzl,500616,,,,,3195-1,,Y,,,,"('CPP', 'LES', 'NAT', 'OFS', 'SWZ', 'TVL')",
47,2205-1,Anodendron,Anodendron A.DC.,Apocynaceae,Genus,,,,,10104,2205-1,Genus,Accepted,Apocynaceae,,Anodendron,,,,,,A.DC.,A.P.de Candolle,Prodr., 8: 443,(1844),,Trop. & Subtrop. Asia,,,Anodendron,A.DC.,10104,,,,,2205-1,,Y,,,,"('AND', 'ASS', 'BAN', 'BIS', 'BOR', 'CBD', 'CHC', 'CHH', 'CHS', 'IND', 'JAP', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NCB', 'NNS', 'NWG', 'PHI', 'SOL', 'SRL', 'SUL', 'SUM', 'TAI', 'THA', 'VAN', 'VIE')","('SCI', 'TRT')"
48,327847-2,Antherostele,Antherostele Bremek.,Rubiaceae,Genus,,,,,10395,327847-2,Genus,Accepted,Rubiaceae,,Antherostele,,,,,,Bremek.,,J. Arnold Arbor., 21: 26,(1940),,Philippines,,,Antherostele,Bremek.,10395,,,,,327847-2,,Y,,,,"('PHI',)",
